,gvkey,permno,adate,qdate,datadate,CAPEI,bm,evm,pe_op_basic,pe_op_dil,pe_exi,pe_inc,ps,pcf,dpr,npm,opmbd,opmad,gpm,ptpm,roa,roe,roce,efftax,aftret_eq,aftret_invcapx,aftret_equity,pretret_noa,pretret_earnat,GProf,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,cfm,int_debt,int_totdebt,cash_lt,invt_act,rect_act,debt_ebitda,short_debt,curr_debt,lt_debt,profit_lct,ocf_lct,cash_debt,fcf_ocf,lt_ppent,dltt_be,debt_at,debt_assets,debt_capital,de_ratio,intcov,intcov_ratio,cash_ratio,quick_ratio,curr_ratio,cash_conversion,inv_turn,at_turn,rect_turn,pay_turn,sale_invcap,sale_equity,sale_nwc,rd_sale,adv_sale,staff_sale,accrual,ptb,PEG_trailing,divyield,ticker,cusip,splticrm
1,1078,20482,2008/12/31,2009/9/30,2010-01-31,23.252,0.279,10.335,14.584,14.706,14.747,14.386,2.736,11.657,0.421,0.187,0.295,0.23,0.653,0.236,0.199,0.3,0.211,0.191,0.3,0.212,0.3,0.504,0.276,0.422,0.638,0.361,0.496,0.361,0.253,0.048,0.035,0.243,0.169,0.284,1.686,0.273,0.441,0.399,0.738,0.586,0.294,0.842,3.681,0.565,0.322,0.586,0.458,1.417,11.785,13.248,0.55,1.319,1.588,134.135,3.225,0.646,5.536,8.368,0.997,1.562,4.25,0.091,0.0,0.0,-0.031,3.838,0.37,3.02%,ABT,282410,AA
2,1078,20482,2011/12/31,2012/6/30,2012-10-31,22.742,0.242,11.602,20.092,20.342,38.988,21.405,3.338,11.751,1.155,0.087,0.303,0.208,0.681,0.112,0.153,0.106,0.152,0.09,0.106,0.058,0.106,0.394,0.199,0.343,0.667,0.33,0.451,0.331,0.254,0.043,0.031,0.253,0.138,0.295,1.794,0.267,0.447,0.338,0.575,0.54,0.251,0.816,4.578,0.495,0.274,0.593,0.426,1.463,9.919,16.97,0.565,1.313,1.523,151.848,2.887,0.504,4.224,6.013,0.83,1.244,3.631,0.115,0.0,0.0,-0.099,4.198,,3.11%,ABT,282410,A+
3,1078,20482,2015/12/31,2016/9/30,2017-01-31,35.311,0.334,14.313,24.145,24.285,63.288,45.901,3.472,25.128,1.531,0.048,0.238,0.169,0.616,0.067,0.122,0.047,0.118,0.18,0.047,0.045,0.047,0.321,0.178,0.319,0.774,0.221,0.325,0.222,0.116,0.034,0.023,0.249,0.206,0.261,1.773,0.319,0.453,0.312,0.571,0.331,0.149,0.633,3.302,0.283,0.219,0.477,0.321,0.916,5.94,17.428,0.55,1.207,1.519,134.82,2.941,0.517,6.031,7.312,0.769,0.993,4.614,0.07,0.0,0.0,-0.046,3.46,2.802,2.54%,ABT,282410,BBB
4,12540,75510,2009/11/30,2009/11/30,2010-01-31,27.386,0.281,19.497,40.886,41.41,44.247,44.247,5.747,15.145,0.0,0.131,0.337,0.248,0.942,0.238,0.151,0.08,0.137,0.449,0.083,0.08,0.083,0.34,0.248,0.381,0.83,0.17,0.17,0.17,0.227,0.005,0.005,0.796,0.0,0.166,1.008,0.0,0.353,0.418,1.174,1.324,0.467,0.893,6.162,0.194,0.137,0.328,0.178,0.489,114.445,214.785,2.255,2.929,2.929,,,0.45,6.71,2.989,0.5,0.602,1.808,0.192,0.023,0.0,-0.112,3.292,5.746,,ADBE,00724F10,BBB+
5,12540,75510,2012/11/30,2013/8/31,2013-12-31,42.614,0.312,22.531,64.386,65.801,68.044,68.044,7.131,22.677,0.0,0.107,0.233,0.156,0.929,0.134,0.097,0.064,0.079,0.256,0.067,0.061,0.067,0.175,0.131,0.381,0.819,0.181,0.183,0.181,0.184,0.045,0.044,1.06,0.0,0.122,1.568,0.012,0.382,0.448,0.756,1.022,0.453,0.821,5.054,0.212,0.15,0.33,0.189,0.493,7.617,9.645,2.774,3.343,3.343,,,0.41,7.954,4.79,0.501,0.612,1.387,0.196,0.023,0.0,-0.086,4.148,4.301,,ADBE,00724F10,A-
6,1632,60871,2009/10/31,2009/10/31,2010-01-31,17.583,0.343,16.432,27.794,27.794,31.718,31.718,3.905,18.208,0.942,0.123,0.237,0.168,0.625,0.148,0.147,0.099,0.127,0.168,0.1,0.103,0.1,0.145,0.12,0.37,0.869,0.131,0.131,0.131,0.192,0.022,0.022,2.075,0.102,0.121,0.794,0.0,0.442,0.434,1.237,1.118,0.494,0.87,1.837,0.148,0.112,0.257,0.161,0.346,61.432,82.675,4.697,5.787,6.442,135.445,2.664,0.62,6.538,5.845,0.693,0.797,0.958,0.222,0.003,0.0,-0.057,3.067,,2.97%,ADI,3265410,BBB+
7,1632,60871,2009/10/31,2010/7/31,2010-09-30,20.402,0.346,9.867,15.458,15.769,16.092,16.092,3.649,10.635,0.41,0.231,0.344,0.296,0.674,0.289,0.247,0.22,0.25,0.168,0.222,0.196,0.222,0.279,0.24,0.457,0.879,0.121,0.121,0.121,0.279,0.027,0.027,2.27,0.087,0.112,0.436,0.0,0.508,0.393,1.772,1.767,0.494,0.897,2.108,0.136,0.102,0.259,0.151,0.349,57.657,72.677,4.465,5.341,5.848,106.983,3.309,0.677,7.863,7.242,0.804,0.914,1.062,0.185,0.003,0.0,-0.078,3.054,0.8,2.80%,ADI,3265410,A-
8,1632,60871,2015/10/31,2016/4/30,2016-07-31,28.032,0.289,15.494,21.935,22.24,31.137,31.137,5.789,20.99,0.781,0.191,0.363,0.3,0.689,0.219,0.171,0.124,0.167,0.14,0.129,0.115,0.129,0.261,0.209,0.318,0.818,0.182,0.213,0.182,0.254,0.04,0.035,1.461,0.094,0.097,1.058,0.144,0.369,0.476,1.427,1.084,0.456,0.861,3.692,0.215,0.177,0.319,0.226,0.468,15.393,22.631,3.963,4.597,5.072,132.964,2.57,0.462,8.014,6.715,0.554,0.678,0.965,0.191,0.001,0.0,-0.039,3.926,,2.63%,ADI,3265410,BBB
10,1891,44644,2009/6/30,2009/9/30,2010-01-31,19.524,0.303,8.922,16.996,16.996,15.451,15.392,2.353,14.624,0.486,0.152,0.243,0.208,0.489,0.218,0.076,0.257,0.327,0.303,0.266,0.258,0.266,0.794,0.076,0.152,0.991,0.009,0.044,0.009,0.188,0.386,0.076,0.073,0.0,0.046,0.107,0.804,0.943,0.002,0.099,0.065,0.078,0.895,31.617,0.008,0.008,0.815,0.06,4.398,77.879,105.202,0.077,1.084,1.084,35.837,,0.312,8.219,42.585,1.668,1.683,4.816,0.056,0.0,0.0,-0.003,3.43,0.722,3.33%,ADP,5301510,AAA
11,1891,44644,2013/6/30,2013/12/31,2014-04-30,28.812,0.168,18.487,28.246,28.453,29.419,26.699,3.49,22.549,0.655,0.119,0.178,0.178,0.41,0.181,0.057,0.193,0.262,0.346,0.203,0.194,0.203,0.967,0.068,0.126,0.998,0.002,0.245,0.002,0.162,0.486,0.004,0.056,0.0,0.058,0.808,0.991,0.951,0.0,0.07,0.061,0.06,0.883,39.397,0.002,0.044,0.82,0.129,4.564,187.188,277.652,0.058,1.042,1.042,47.685,,0.307,6.488,42.598,1.705,1.709,9.414,0.057,0.0,0.0,-0.011,5.743,8.202,2.46%,ADP,5301510,AA
13,10860,24985,2008/12/31,2009/9/30,2010-01-31,9.706,1.731,6.747,8.872,8.872,9.291,9.291,0.827,2.976,0.658,0.081,0.285,0.187,0.285,0.123,0.092,0.064,0.09,0.337,0.084,0.067,0.083,0.084,0.071,0.09,0.501,0.485,0.564,0.49,0.188,0.069,0.059,0.019,0.288,0.285,3.922,0.14,0.166,0.448,0.8,0.781,0.099,0.049,0.927,0.733,0.353,0.677,0.545,2.145,2.229,2.828,0.116,0.732,1.029,51.794,6.785,0.317,9.601,8.948,0.505,1.003,34.38,0.0,0.0,0.0,-0.063,0.584,3.382,6.03%,AEE,2360810,BBB-
14,10860,24985,2012/12/31,2012/12/31,2013-03-31,46.636,1.272,6.931,14.592,14.592,-8.733,-8.733,1.244,5.028,,-0.143,0.308,0.194,0.308,-0.242,0.092,-0.094,0.093,,-0.134,-0.029,-0.131,0.075,0.068,0.096,0.494,0.495,0.521,0.495,-0.019,0.067,0.064,0.014,0.297,0.345,3.32,0.051,0.113,0.44,1.239,0.995,0.112,0.212,0.936,0.699,0.32,0.69,0.53,2.23,-1.174,2.964,0.123,0.981,1.395,48.795,6.674,0.3,8.109,7.158,0.51,1.01,10.176,0.0,0.0,0.0,-0.117,0.896,,4.57%,AEE,2360810,BBB
15,10860,24985,2012/12/31,2013/9/30,2013-12-31,18.866,1.19,8.051,18.449,18.544,18.544,-9.694,1.52,5.34,0.822,0.082,0.316,0.194,0.316,0.134,0.082,0.047,0.084,,0.069,0.053,0.068,0.067,0.059,0.083,0.524,0.464,0.515,0.464,0.015,0.067,0.061,0.011,0.183,0.172,3.488,0.098,0.174,0.371,0.677,0.609,0.112,0.18,0.984,0.589,0.288,0.7,0.507,2.337,2.225,2.904,0.064,0.935,1.144,43.929,6.997,0.261,10.879,8.347,0.466,0.872,14.834,0.0,0.0,0.0,-0.052,0.872,0.272,4.42%,AEE,2360810,BBB+
16,1440,24109,2008/12/31,2009/9/30,2010-01-31,14.203,1.277,7.293,12.287,12.287,12.287,12.201,1.231,6.913,0.583,0.094,0.318,0.202,0.318,0.137,0.095,0.076,0.093,0.318,0.112,0.071,0.111,0.088,0.073,0.093,0.43,0.568,0.652,0.568,0.215,0.065,0.056,0.025,0.332,0.146,4.212,0.128,0.169,0.458,0.74,0.415,0.075,-0.501,1.024,0.904,0.39,0.741,0.616,2.869,2.25,2.674,0.149,0.48,0.719,26.36,6.651,0.291,22.147,8.597,0.487,1.128,,0.0,0.0,0.0,-0.025,0.876,1.28,4.73%,AEP,2553710,BBB
17,1440,24109,2015/12/31,2016/6/30,2016-09-30,20.325,0.893,9.935,17.738,17.738,18.293,15.776,1.975,7.277,0.634,0.108,0.326,0.199,0.326,0.156,0.085,0.058,0.083,0.342,0.097,0.055,0.097,0.074,0.064,0.084,0.504,0.496,0.584,0.496,0.243,0.05,0.042,0.012,0.3,0.383,4.007,0.152,0.166,0.402,0.713,0.593,0.11,-0.09,0.95,0.591,0.336,0.71,0.552,2.447,2.96,3.628,0.071,0.412,0.588,37.662,8.353,0.257,9.701,8.517,0.447,0.887,,0.0,0.0,0.0,-0.042,1.025,1.331,3.49%,AEP,2553710,BBB+
18,1440,24109,2016/12/31,2016/12/31,2017-02-28,24.393,0.951,9.791,15.186,15.186,53.576,54.008,2.01,7.287,1.828,0.037,0.332,0.212,0.332,0.033,0.087,0.021,0.089,-0.135,0.035,0.032,0.035,0.082,0.068,0.086,0.496,0.503,0.636,0.503,0.166,0.052,0.043,0.012,0.16,0.318,4.097,0.209,0.206,0.383,0.572,0.476,0.098,-0.086,1.009,0.599,0.351,0.726,0.579,2.647,1.66,3.741,0.057,0.533,0.635,26.294,9.488,0.262,9.21,6.806,0.467,0.942,,0.0,0.0,0.0,-0.062,1.119,,3.52%,AEP,2553710,A-
19,24216,76712,2008/12/31,2009/9/30,2010-01-31,15.393,0.596,6.647,25.26,25.26,14.033,12.758,0.614,3.388,0.0,0.044,0.289,0.216,0.314,0.147,0.11,0.114,0.131,0.278,0.148,0.127,0.148,0.12,0.099,0.118,0.163,0.688,0.738,0.808,0.176,0.093,0.087,0.114,0.071,0.292,4.725,0.069,0.186,0.609,0.744,0.466,0.078,-0.061,1.268,3.267,0.512,0.783,0.827,6.922,1.368,1.818,0.612,1.362,1.466,39.753,16.891,0.375,6.017,8.567,0.541,3.315,5.519,0.0,0.0,0.0,-0.052,1.429,0.109,,AES,00130H10,BB-
20,24216,76712,2009/12/31,2010/9/30,2011-01-31,16.404,0.903,6.35,16.104,16.104,23.396,24.314,0.628,3.585,0.0,0.026,0.29,0.215,0.313,0.138,0.112,0.059,0.131,0.246,0.072,0.103,0.072,0.123,0.099,0.119,0.217,0.636,0.71,0.746,0.169,0.083,0.074,0.162,0.06,0.243,4.45,0.103,0.219,0.586,0.67,0.405,0.072,0.163,1.251,2.466,0.489,0.749,0.793,5.012,1.268,2.247,0.737,1.348,1.434,41.763,18.526,0.38,6.627,3.091,0.55,2.539,5.33,0.0,0.0,0.0,-0.057,1.201,0.997,,AES,00130H10,BB
21,24216,76712,2010/12/31,2011/3/31,2011-05-31,16.971,0.755,6.064,15.805,15.805,18.783,259.2,0.631,3.043,0.0,0.034,0.296,0.222,0.321,0.136,0.115,0.072,0.134,0.25,0.084,0.103,0.084,0.13,0.103,0.126,0.239,0.615,0.703,0.72,0.137,0.085,0.074,0.161,0.064,0.265,4.148,0.124,0.241,0.573,0.655,0.459,0.117,0.311,1.219,2.219,0.482,0.736,0.773,4.484,1.377,2.439,0.668,1.211,1.294,27.211,18.207,0.393,6.47,3.502,0.573,2.394,7.546,0.0,0.0,0.0,-0.068,1.316,2.845,,AES,00130H10,BB-
22,24216,76712,2015/12/31,2015/12/31,2016-04-30,39.927,0.664,7.431,12.13,12.13,25.364,25.364,0.495,3.484,0.915,0.021,0.251,0.173,0.264,0.083,0.098,0.063,0.105,0.379,0.082,0.086,0.082,0.106,0.082,0.107,0.126,0.732,0.833,0.853,0.128,0.086,0.076,0.068,0.098,0.385,5.577,0.122,0.231,0.606,0.537,0.304,0.07,-0.092,1.321,4.312,0.565,0.818,0.877,9.572,1.192,1.618,0.294,0.891,0.988,24.586,15.888,0.392,5.342,5.457,0.595,4.721,,0.0,0.0,0.0,-0.048,1.737,,3.94%,AES,00130H10,BB
23,1449,57904,2008/12/31,2009/9/30,2010-01-31,15.387,0.394,11.555,7.888,7.913,7.862,7.862,1.266,3.962,0.347,0.081,0.125,0.125,0.125,0.123,0.03,0.225,0.267,0.345,0.234,0.187,0.234,,,0.029,0.787,0.213,0.208,0.213,0.079,0.031,0.031,0.037,,,0.861,0.263,,0.025,,,0.068,0.991,120.995,0.261,0.022,0.916,0.465,10.884,27.704,41.296,,,,,,0.231,12.377,4.146,2.161,2.746,,0.0,0.012,0.0,-0.056,2.875,8.339,2.31%,AFL,105510,A-
24,1449,57904,2013/12/31,2014/3/31,2014-06-30,12.342,0.548,6.89,4.818,4.848,4.826,4.826,1.21,3.394,0.213,0.128,0.208,0.208,0.208,0.195,0.041,0.196,0.249,0.344,0.205,0.165,0.205,,,0.04,0.752,0.248,0.251,0.248,0.134,0.062,0.062,0.043,,,0.948,0.067,,0.046,,,0.099,1.0,213.007,0.316,0.041,0.878,0.441,7.198,10.927,16.096,,,,,,0.194,11.473,2.792,1.198,1.594,,0.0,0.01,0.0,-0.044,1.803,0.352,2.38%,AFL,105510,A
25,1449,57904,2014/12/31,2015/6/30,2015-09-30,9.516,0.635,6.655,4.665,4.695,4.877,4.877,1.15,3.839,0.249,0.122,0.21,0.21,0.21,0.185,0.037,0.138,0.194,0.343,0.146,0.122,0.146,,,0.038,0.773,0.227,0.227,0.227,0.132,0.059,0.059,0.043,,,1.088,0.081,,0.051,,,0.065,1.0,238.511,0.277,0.044,0.852,0.407,5.736,9.45,14.629,,,,,,0.18,9.543,2.483,0.936,1.211,,0.0,0.01,0.0,-0.032,1.471,0.997,2.68%,AFL,105510,A-
26,15708,75646,2008/12/31,2009/9/30,2010-01-31,49.805,0.264,12.606,24.784,24.892,32.123,32.123,4.031,17.611,0.111,0.126,0.296,0.235,0.858,0.171,0.19,0.131,0.179,0.263,0.132,0.109,0.132,0.425,0.333,0.538,0.736,0.263,0.265,0.263,0.193,0.051,0.051,0.499,0.1,0.226,1.195,0.006,0.259,0.576,1.869,1.446,0.245,0.883,3.395,0.355,0.222,0.383,0.288,0.621,8.014,13.058,1.926,3.228,3.587,77.758,2.499,0.627,7.782,2.962,0.748,1.017,2.443,0.17,0.029,0.0,-0.065,3.832,,0.35%,AGN,1849010,BBB-
27,15708,75646,2009/12/31,2010/3/31,2010-07-31,49.214,0.249,13.603,23.667,23.945,25.128,25.128,4.037,16.047,0.081,0.16,0.304,0.248,0.867,0.219,0.199,0.166,0.193,0.265,0.167,0.137,0.167,0.42,0.333,0.549,0.756,0.242,0.244,0.242,0.222,0.05,0.049,0.66,0.077,0.197,1.068,0.011,0.285,0.561,1.863,1.544,0.413,0.917,3.357,0.319,0.205,0.362,0.27,0.57,11.047,15.556,2.317,3.529,3.826,47.893,2.75,0.634,8.127,2.65,0.753,0.997,2.172,0.161,0.041,0.0,-0.059,3.797,5.11,0.33%,AGN,1849010,BBB
28,15708,75646,2013/12/31,2013/12/31,2014-02-28,48.298,0.196,16.101,27.371,27.79,30.238,38.957,6.016,22.358,0.047,0.201,0.347,0.307,0.896,0.275,0.221,0.206,0.241,0.265,0.206,0.183,0.206,0.419,0.334,0.534,0.754,0.245,0.251,0.245,0.243,0.043,0.041,0.889,0.054,0.166,0.985,0.026,0.303,0.511,1.758,1.363,0.413,0.899,4.446,0.325,0.204,0.388,0.274,0.635,17.522,25.161,2.933,4.046,4.275,62.128,2.314,0.638,7.648,2.556,0.735,0.975,1.546,0.165,0.029,0.0,-0.043,5.865,1.668,0.16%,AGN,1849010,BBB-
29,1487,66800,2008/12/31,2009/9/30,2010-01-31,-0.248,0.955,-3.362,-0.134,-0.134,-0.052,-0.052,0.105,0.309,,-2.104,-9.518,-9.93,-9.518,-2.159,-0.08,-1.145,-0.285,,-1.152,-0.263,-1.144,,,-0.089,0.23,0.679,0.916,0.704,-1.186,0.077,0.05,0.12,,,-2.655,0.259,,0.176,,,0.001,0.66,15.742,2.956,0.219,0.923,0.775,13.516,-8.541,-7.692,,,,5948.77,5.154,0.037,0.262,7.295,0.154,0.54,,0.0,0.06,0.0,-0.086,0.158,0.0,,AIG,2687478,A-
30,1487,66800,2015/12/31,2016/9/30,2017-01-31,7.037,1.433,13.374,68.362,73.023,136.723,153.0,1.217,27.547,2.953,0.007,0.131,0.059,0.131,0.008,0.014,0.004,0.04,0.323,0.004,0.013,0.004,,,0.014,0.734,0.261,0.245,0.262,0.079,0.04,0.042,0.053,,,3.006,0.0,,0.076,,,0.007,1.0,132.826,0.355,0.059,0.823,,4.668,1.322,2.529,,,,,,0.107,0.813,,0.446,0.608,,0.0,0.0,0.0,-0.004,0.744,,1.99%,AIG,2687478,BBB+
31,157057,90038,2008/12/31,2009/9/30,2010-01-31,6.789,1.311,6.112,7.555,7.592,6.175,6.175,0.427,9.228,0.114,0.07,0.093,0.093,0.093,0.098,0.032,0.155,0.164,0.205,0.155,0.136,0.155,,,0.032,0.809,0.191,0.191,0.191,0.063,0.062,0.062,0.083,,,1.334,0.0,,0.048,,,0.048,0.857,74.28,0.236,0.04,0.832,0.575,4.936,10.903,13.127,,,,48.437,,0.348,1.371,1.675,1.672,2.066,,0.0,0.0,0.0,0.008,0.749,0.395,1.91%,AIZ,04621X10,BBB
32,157057,90038,2012/12/31,2013/3/31,2013-06-30,8.804,1.526,3.908,8.947,9.043,9.734,9.734,0.458,5.367,0.16,0.051,0.093,0.093,0.093,0.084,0.028,0.084,0.131,0.362,0.086,0.081,0.086,,,0.028,0.818,0.182,0.182,0.182,0.072,0.053,0.053,0.085,,,1.026,0.0,,0.049,,,0.029,0.916,94.131,0.216,0.04,0.819,0.551,4.512,8.266,13.161,,,,99.502,,0.301,1.061,1.493,1.355,1.656,,0.0,0.0,0.0,-0.01,0.728,0.318,1.96%,AIZ,04621X10,BBB+
33,29968,80303,2008/12/31,2009/9/30,2010-01-31,33.831,0.379,-3.522,-4.309,-4.309,-4.126,-4.126,0.528,16.506,5.6,-0.129,-0.143,-0.191,-0.097,-0.208,-0.132,-0.537,-0.491,,-0.537,-0.309,-0.537,-0.251,-0.2,-0.091,0.583,0.416,0.416,0.416,-0.079,0.065,0.065,0.122,0.308,0.21,-1.016,0.001,0.213,0.17,-0.79,0.176,0.022,-0.539,1.763,0.713,0.138,0.807,0.539,4.18,-12.625,-20.173,0.572,1.642,2.373,46.275,8.264,0.945,11.076,11.305,2.857,4.897,4.01,0.002,0.0,0.0,-0.149,2.718,-0.013,0.98%,AKS,154710,BB-
34,29968,80303,2009/12/31,2009/12/31,2010-04-30,28.038,0.377,21.874,-25.379,-25.379,-24.632,-24.632,0.452,31.309,,-0.018,0.033,-0.017,0.08,-0.024,0.03,-0.081,-0.045,,-0.081,-0.021,-0.081,-0.023,-0.018,0.077,0.593,0.408,0.408,0.408,0.034,0.072,0.072,0.136,0.256,0.284,4.509,0.001,0.218,0.178,0.182,0.079,0.017,-1.27,1.718,0.688,0.142,0.794,0.543,3.854,-0.665,-1.565,0.623,1.638,2.201,51.33,7.625,0.91,8.739,9.147,2.744,4.629,4.584,0.002,0.0,0.0,-0.03,2.09,-0.064,1.19%,AKS,154710,BB
35,29968,80303,2010/12/31,2011/9/30,2011-12-31,23.154,0.872,10.83,-118.0,-118.0,-15.296,-15.296,0.143,-2.926,,-0.009,0.034,0.004,0.067,-0.016,0.049,-0.088,0.02,,-0.088,-0.018,-0.088,0.011,0.008,0.096,0.497,0.507,0.633,0.505,0.022,0.063,0.05,0.025,0.418,0.367,3.805,0.199,0.3,0.17,0.186,-0.271,-0.037,,1.831,1.02,0.182,0.858,0.703,6.001,-0.471,0.676,0.082,0.817,1.402,32.246,8.816,1.424,10.745,8.62,4.95,9.957,13.754,0.002,0.0,0.0,0.057,1.449,,2.42%,AKS,154710,BB-
36,29968,80303,2011/12/31,2012/3/31,2012-06-30,34.651,0.436,-99.433,-3.837,-3.837,-3.669,-3.669,0.101,-4.876,,-0.028,-0.003,-0.032,0.031,-0.044,-0.004,-0.307,-0.143,,-0.307,-0.099,-0.307,-0.083,-0.056,0.043,0.414,0.592,0.789,0.588,0.004,0.076,0.057,0.012,0.416,0.394,-47.638,0.25,0.301,0.178,-0.017,-0.108,-0.044,,1.913,1.428,0.211,0.891,0.765,8.027,-2.196,-3.755,0.038,0.739,1.267,32.536,9.578,1.398,10.448,8.912,5.218,12.597,19.537,0.002,0.0,0.0,-0.009,1.782,,3.41%,AKS,154710,B+
37,29968,80303,2011/12/31,2012/9/30,2012-11-30,-5.51,0.426,-30.959,-1.995,-1.995,-0.447,-0.447,0.088,-2.497,,-0.165,-0.01,-0.042,0.025,-0.055,-0.014,-2.152,-0.193,,-3.911,-0.856,-3.911,-0.106,-0.07,0.036,-0.013,1.01,1.208,1.013,-0.127,0.076,0.064,0.01,0.444,0.414,-19.021,0.164,0.265,0.229,-0.054,-0.189,-0.044,,2.026,2.59,0.275,1.002,1.007,-342.04,-12.353,-3.395,0.037,0.694,1.247,35.018,9.424,1.42,10.365,9.288,6.234,16.649,21.615,0.002,0.0,0.0,-0.181,1.369,-0.002,,AKS,154710,B
38,29968,80303,2014/12/31,2015/6/30,2015-10-31,-1.581,,8.008,-12.042,-12.042,-1.403,-1.403,0.073,5.575,,-0.052,0.061,0.031,0.098,-0.039,0.095,,0.114,,0.83,-0.058,0.83,0.073,0.054,0.148,-0.243,1.061,1.061,1.297,-0.009,0.068,0.068,0.015,0.585,0.311,5.698,0.0,0.23,0.512,0.39,0.083,-0.065,-0.191,2.197,,0.528,1.03,1.21,-8.539,-1.184,1.293,0.067,0.754,1.815,54.88,5.413,1.509,11.278,8.661,3.036,,7.809,0.002,0.0,0.0,-0.102,,-0.102,,AKS,154710,B-
39,29968,80303,2015/12/31,2016/3/31,2016-06-30,-3.026,,8.572,-5.614,-5.614,-3.82,-3.82,0.172,3.267,,-0.033,0.053,0.02,0.093,-0.015,0.08,,0.083,,0.245,0.011,0.245,0.043,0.032,0.144,-0.504,1.293,1.293,1.639,0.013,0.072,0.072,0.018,0.626,0.28,6.932,0.0,0.222,0.506,0.329,0.326,0.043,0.707,2.245,,0.571,1.129,1.428,-5.068,-0.258,0.75,0.08,0.659,1.76,55.79,5.105,1.551,12.595,7.937,3.509,,8.153,0.004,0.0,0.0,-0.131,,,,AKS,154710,B
42,1161,61241,2008/12/31,2009/9/30,2010-01-31,-4.363,,189.599,-2.925,-2.925,-2.038,-2.027,1.017,-5.395,,-0.457,0.009,-0.223,0.584,-0.434,0.005,-1.675,-0.2,,-14.626,-0.356,-14.308,-0.204,-0.145,0.336,-0.056,0.905,0.96,1.067,-0.326,0.081,0.076,0.276,0.158,0.12,118.147,0.057,0.262,0.64,0.022,-0.441,-0.091,,1.956,,0.636,0.937,1.056,-25.032,-4.435,-2.655,1.052,1.402,1.664,27.227,3.717,0.576,11.768,3.003,0.869,,3.527,0.357,0.09,0.0,-0.152,,,,AMD,790310,B-
43,1161,61241,2009/12/31,2010/3/31,2010-07-31,-4.672,0.128,13.019,-8.609,-7.066,6.402,6.402,0.871,5.694,0.022,0.18,0.136,-0.028,0.571,0.166,0.088,-0.671,-0.031,0.275,-7.14,0.266,-7.607,-0.028,-0.02,0.417,0.02,0.826,0.884,0.977,0.33,0.09,0.084,0.343,0.141,0.155,5.913,0.066,0.283,0.618,0.395,0.446,0.064,-0.029,2.241,5.292,0.586,0.885,0.981,68.517,3.677,-0.415,1.212,1.645,1.916,27.159,4.625,0.731,9.839,4.17,1.104,56.585,3.185,0.276,0.0,0.0,0.019,6.337,0.477,,AMD,790310,B+
44,1161,61241,2011/12/31,2011/12/31,2012-04-30,-5.786,0.422,7.807,15.66,15.66,10.985,11.152,0.784,13.475,0.0,0.075,0.113,0.075,0.485,0.075,0.149,0.38,0.141,-0.008,0.38,0.211,0.38,0.206,0.12,0.643,0.51,0.49,0.647,0.49,0.124,0.097,0.081,0.525,0.147,0.285,2.721,0.243,0.527,0.454,0.418,0.215,0.114,0.346,4.634,0.96,0.407,0.679,0.616,2.116,3.75,2.75,0.995,1.552,1.82,51.731,6.105,1.324,6.961,5.756,2.107,4.131,4.514,0.221,0.0,0.0,0.023,3.237,,,AMD,790310,BB-
45,1161,61241,2011/12/31,2012/9/30,2013-01-31,-2.57,0.412,11.417,17.333,18.571,-2.167,-2.167,0.311,13.712,0.0,-0.148,0.088,0.044,0.468,-0.155,0.104,-0.642,0.076,-0.008,-0.642,-0.244,-0.642,0.137,0.065,0.57,0.418,0.582,0.712,0.582,-0.104,0.104,0.085,0.417,0.212,0.265,3.863,0.182,0.541,0.446,0.261,0.067,0.114,-0.467,5.241,1.395,0.413,0.758,0.712,3.127,-4.104,1.503,0.771,1.225,1.554,22.407,4.804,1.216,7.204,3.727,2.096,5.019,5.363,0.235,0.0,0.0,-0.205,1.872,,,AMD,790310,B
46,1161,61241,2014/12/31,2014/12/31,2015-04-30,-12.507,0.09,15.41,-37.667,-37.667,-4.264,-4.264,0.319,-17.943,,-0.073,0.05,0.027,0.355,-0.072,0.069,-1.103,0.06,,-1.103,-0.089,-1.103,0.093,0.048,0.519,0.084,0.916,0.995,0.916,-0.036,0.088,0.083,0.291,0.25,0.299,7.957,0.08,0.402,0.568,0.193,-0.068,-0.027,,11.854,10.882,0.587,0.95,0.938,19.144,-1.277,0.842,0.722,1.424,1.9,57.413,4.528,1.359,6.674,4.423,2.478,29.444,4.248,0.195,0.0,0.0,-0.075,9.403,,,AMD,790310,B-
47,1161,61241,2014/12/31,2015/6/30,2015-10-31,-14.844,0.09,62.064,-5.73,-5.73,-2.33,-2.33,0.361,-17.27,,-0.153,0.015,-0.025,0.35,-0.152,0.018,-2.284,-0.046,,-2.284,-0.228,-2.284,-0.071,-0.038,0.436,0.068,0.932,1.017,0.932,-0.112,0.08,0.073,0.26,0.287,0.304,31.539,0.084,0.398,0.574,0.05,-0.068,-0.027,,11.762,8.33,0.601,0.96,0.951,23.918,-3.317,-0.713,0.652,1.34,1.879,78.049,3.932,1.246,5.713,4.392,2.108,31.037,3.707,0.214,0.0,0.0,-0.16,8.958,,,AMD,790310,CCC+
