,gvkey,permno,adate,qdate,datadate,CAPEI,bm,evm,pe_op_basic,pe_op_dil,pe_exi,pe_inc,ps,pcf,dpr,npm,opmbd,opmad,gpm,ptpm,roa,roe,roce,efftax,aftret_eq,aftret_invcapx,aftret_equity,pretret_noa,pretret_earnat,GProf,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,cfm,int_debt,int_totdebt,cash_lt,invt_act,rect_act,debt_ebitda,short_debt,curr_debt,lt_debt,profit_lct,ocf_lct,cash_debt,fcf_ocf,lt_ppent,dltt_be,debt_at,debt_assets,debt_capital,de_ratio,intcov,intcov_ratio,cash_ratio,quick_ratio,curr_ratio,cash_conversion,inv_turn,at_turn,rect_turn,pay_turn,sale_invcap,sale_equity,sale_nwc,rd_sale,adv_sale,staff_sale,accrual,ptb,PEG_trailing,divyield,ticker,cusip,splticrm
282,165993,89003,2008/12/31,2009/9/30,2010-01-31,46.56,0.856,7.418,19.154,19.471,21.815,24.041,2.667,12.487,0.192,0.063,0.255,0.145,0.366,0.097,0.112,0.053,0.078,0.322,0.058,0.053,0.058,0.778,0.334,0.162,0.607,0.365,0.39,0.376,0.184,0.058,0.054,0.064,0.0,0.598,2.804,0.063,0.237,0.61,0.98,0.821,0.156,0.923,13.427,0.55,0.316,0.485,0.422,0.986,2.633,3.735,0.271,1.305,1.305,18.309,,0.442,4.922,6.536,0.545,0.897,12.591,0.007,0.0,0.0,-0.066,2.085,1.736,0.85%,FIS,31620M10,BB+
283,165993,89003,2011/12/31,2012/9/30,2013-01-31,35.521,0.816,7.988,19.635,19.952,21.451,25.074,1.886,9.979,0.343,0.089,0.303,0.192,0.43,0.135,0.126,0.069,0.097,0.321,0.078,0.063,0.078,1.174,0.5,0.179,0.582,0.405,0.42,0.411,0.213,0.051,0.049,0.071,0.0,0.574,2.726,0.034,0.169,0.65,1.458,0.91,0.163,0.878,16.907,0.617,0.344,0.512,0.442,1.072,3.195,4.726,0.419,1.562,1.562,16.517,,0.417,5.372,7.098,0.508,0.874,8.573,0.0,0.0,0.0,-0.042,1.46,0.718,2.16%,FIS,31620M10,BBB-
284,165993,89003,2012/12/31,2013/9/30,2014-01-31,39.465,0.551,9.249,23.257,23.692,26.684,26.825,2.464,14.693,0.446,0.094,0.3,0.197,0.429,0.147,0.131,0.075,0.105,0.326,0.085,0.065,0.085,1.051,0.503,0.185,0.587,0.399,0.411,0.405,0.204,0.044,0.043,0.091,0.0,0.534,2.585,0.028,0.193,0.637,1.312,0.734,0.155,0.883,16.812,0.606,0.335,0.511,0.438,1.068,3.841,5.967,0.47,1.58,1.58,14.099,,0.432,5.188,6.488,0.53,0.903,7.542,0.0,0.0,0.0,-0.032,1.982,0.616,1.74%,FIS,31620M10,BBB
285,4640,34746,2008/12/31,2009/9/30,2010-01-31,16.421,1.252,-36.267,-4.38,-4.507,-4.334,-4.334,1.239,4.134,,-0.164,-0.099,-0.099,0.162,-0.233,-0.007,-0.148,-0.025,,-0.171,0.0,-0.108,,,0.011,0.379,0.456,0.834,0.456,-0.164,,,0.041,,,-24.955,0.453,,0.104,,,0.029,0.834,35.275,1.205,0.17,0.889,0.885,8.033,,,,,,,2.604,0.069,0.102,0.098,0.337,0.619,,0.0,0.012,0.189,-0.032,0.98,,0.32%,FITB,31677310,BBB
286,4640,34746,2012/12/31,2013/6/30,2013-09-30,33.067,0.862,7.049,10.028,10.314,9.401,9.401,2.296,5.207,0.24,0.254,0.552,0.468,0.897,0.355,0.032,0.133,0.119,0.288,0.13,-0.001,0.129,,,0.052,0.628,0.344,0.582,0.344,0.332,,,0.039,,,3.209,0.409,,0.068,,,0.024,0.841,34.249,0.547,0.102,0.885,0.88,7.711,,,,,,,0.269,0.058,0.083,0.011,0.328,0.502,,0.0,0.019,0.289,-0.011,1.209,,2.66%,FITB,31677310,BBB+
287,28477,79265,2010/12/31,2011/6/30,2011-08-31,22.22,0.303,11.385,16.583,17.02,19.451,19.598,2.693,19.478,0.089,0.14,0.282,0.23,0.584,0.2,0.244,0.145,0.232,0.315,0.146,0.146,0.146,0.379,0.305,0.481,1.0,0.0,0.0,0.0,0.192,0.099,14.856,0.833,0.302,0.314,0.0,1.0,0.729,0.0,1.868,0.915,0.762,0.808,1.725,0.0,0.0,0.171,0.052,0.206,139.959,228.5,1.142,3.025,4.332,199.882,2.109,0.823,4.863,8.502,0.993,0.993,1.987,0.091,0.007,0.0,0.001,2.533,1.886,0.93%,FLIR,30244510,BBB-
288,28477,79265,2012/12/31,2013/9/30,2013-12-31,18.589,0.366,11.374,19.172,19.545,19.545,19.545,2.858,11.684,0.217,0.153,0.245,0.204,0.548,0.197,0.167,0.143,0.163,0.228,0.144,0.128,0.144,0.26,0.217,0.366,0.834,0.166,0.17,0.166,0.193,0.042,0.041,0.602,0.316,0.251,0.884,0.023,0.376,0.486,1.494,1.494,0.494,0.846,2.953,0.198,0.145,0.291,0.207,0.41,18.3,23.149,1.598,3.372,4.929,230.493,1.773,0.669,4.937,7.58,0.786,0.943,1.554,0.097,0.006,0.0,-0.062,2.607,13.511,1.20%,FLIR,30244510,BBB
290,4108,30940,2008/12/31,2009/9/30,2010-01-31,24.542,0.316,5.892,3.729,3.757,3.924,3.924,1.162,12.124,0.135,0.1,0.171,0.151,0.383,0.138,0.191,0.299,0.325,0.25,0.3,0.239,0.3,0.504,0.239,0.421,0.733,0.263,0.276,0.264,0.121,0.079,0.075,0.125,0.391,0.372,0.768,0.048,0.578,0.224,0.53,0.296,0.153,0.659,4.422,0.358,0.145,0.614,0.407,1.6,11.101,15.26,0.217,0.972,1.595,125.228,3.06,1.098,5.205,5.742,2.099,2.861,5.194,0.008,0.0,0.0,0.004,2.94,0.055,1.20%,FLS,34354P10,BB+
291,4108,30940,2011/12/31,2012/3/31,2012-07-31,16.211,0.377,8.339,5.221,5.276,5.248,5.248,1.337,18.122,0.167,0.093,0.155,0.132,0.356,0.128,0.157,0.186,0.217,0.27,0.187,0.168,0.187,0.336,0.192,0.357,0.833,0.163,0.183,0.164,0.117,0.08,0.072,0.107,0.415,0.397,0.713,0.108,0.609,0.201,0.52,0.247,0.093,0.666,3.815,0.195,0.111,0.492,0.306,0.973,12.673,16.636,0.175,1.11,1.897,152.567,2.738,1.004,4.44,6.036,1.654,1.985,3.731,0.008,0.0,0.0,0.019,2.602,,1.20%,FLS,34354P10,BBB-
292,4108,30940,2014/12/31,2014/12/31,2015-02-28,18.439,0.255,10.547,16.657,16.792,16.524,16.524,1.716,14.659,0.171,0.106,0.179,0.157,0.374,0.15,0.174,0.257,0.248,0.284,0.273,0.188,0.273,0.38,0.217,0.367,0.635,0.362,0.379,0.363,0.13,0.054,0.051,0.149,0.356,0.387,1.325,0.046,0.486,0.364,0.592,0.388,0.189,0.768,4.361,0.537,0.232,0.609,0.478,1.567,9.601,12.671,0.306,1.222,1.898,133.436,2.972,0.975,4.36,4.888,1.603,2.525,3.689,0.008,0.0,0.0,-0.01,4.082,1.184,1.03%,FLS,34354P10,BBB
