,datadate,ticker,after-tax interest coverage,interest coverage ratio,cash flow/ total debt,operating CF/ current liabilities,operating margin before dep.,operating margin after dep.,return on equity,return on capital employed,LTD/ total assets,total debt/ total assets,book/ market,interest/ average LTD,interest/ average total debt,cash balance/ total liabilities,inventory/ current asset,receivables/ current asset,total debt/ EBITDA,short-term debt/ total debt,current libilities/ total liabilities,LTD/ total liabilities,profit before dep./ current liabilities,free cash flow/ operating cash flow,total liabilities/ total tangible assets,LTD/ book equity,total debt/ capital,total debt/ equity,cash ratio,quick ratio,current ratio,cash conversion cycle,inventory turnover,asset turnover,receivables turnover,payables turnover,sales/invested capital,sales/stockholders equity,sales/working capital,accruals/average assets,price/ book,trailing P/E to growth ratio,shillers cyclically adjusted P/E ratio,enterprise value multiple,"price/ operating earnings (Basic, Excl. EI)","price/ operating earnings (Diluted, Excl. EI)","P/E (Diluted, Excl. EI)","P/E (Diluted, Incl. EI)",price/ sales,price/ cash flow,dividend payout ratio,net profit magin,gross profit margin,pre-tax profit margin,return on assets,effective tax rate,after-tax return on average common equity,after-tax return on invested capital,after-tax return on average stockholders' equity,pre-tax return on net operating assets,pre-tax return on total earning assets,gross profit/ total assets,common equity/invested capital,LTD/ invested capital,total debt/ invested capital,capitalization ratio,cash flow margin,dividend yield,splticrm,rating,prev_rating,rating_diff
0,2017-01-31,ABT,-0.4011493094061901,0.02698880377136126,-0.40637450199203196,-0.38703703703703707,-0.21452145214521456,-0.1874999999999999,-0.5566037735849056,-0.22368421052631582,-0.2007299270072993,-0.19561551433389546,0.3801652892561984,-0.20930232558139528,-0.25806451612903225,-0.015810276679841917,0.49275362318840554,-0.11525423728813555,-0.0117056856187292,0.19475655430711614,0.01342281879194629,-0.07692307692307698,-0.006956521739130417,-0.22426470588235292,-0.27872433377020533,-0.4282828282828284,-0.24647887323943662,-0.3738892686261107,-0.0265486725663715,-0.08073115003808062,-0.0026263952724885353,-0.11213845424371749,0.0187045375822652,0.025793650793650924,0.42779356060606055,0.21603193081656413,-0.0734939759036144,-0.20176848874598075,0.2707243183695951,-0.5353535353535354,-0.17579799904716542,6.572972972972973,0.5526778647436461,0.23366660920530946,0.20172207843917977,0.1938354144135288,0.6232686980609419,1.1444055127306703,0.040143798681845366,1.1383712024508554,0.32554112554112535,-0.4482758620689654,-0.09544787077826733,-0.4017857142857143,-0.20261437908496738,1.0,-0.5566037735849056,-0.22413793103448287,-0.5566037735849056,-0.18527918781725894,-0.1055276381909549,-0.06997084548104959,0.16041979010494756,-0.3303030303030303,-0.27937915742793795,-0.32930513595166166,-0.5433070866141732,-0.18327974276527337,BBB,-0.43999999999999995,-0.21875,0.5714285714285714
1,2016-07-31,ADI,-0.7330246110619699,-0.6886085006260578,-0.07692307692307687,-0.38653084323712494,0.05523255813953498,0.013513513513513598,-0.4363636363636364,-0.33199999999999996,0.7352941176470589,0.23166023166023164,-0.16473988439306353,0.4814814814814816,0.2962962962962965,-0.35638766519823784,0.08045977011494254,-0.1339285714285714,1.426605504587156,inf,-0.27362204724409456,0.2111959287531806,-0.1946952595936794,-0.04013377926421413,0.7514231499051234,0.5808823529411764,0.4966887417218544,0.34097421203438416,-0.11243001119820828,-0.13929975659988758,-0.1326949384404924,0.24285166802202207,-0.22333031127228775,-0.3175775480059084,0.01920386620882608,-0.07276995305164324,-0.31094527363184077,-0.25820568927789933,-0.09133709981167615,-0.5,0.2855271774721677,0.0,0.37398294284874023,0.5702847876760919,0.41900633975934776,0.4103621028600417,0.9349366144668161,0.9349366144668161,0.5864620443957247,0.9736718382698635,0.9048780487804879,-0.17316017316017318,0.022255192878338104,-0.24221453287197225,-0.3076923076923076,-0.16666666666666663,-0.41891891891891886,-0.41326530612244894,-0.41891891891891886,-0.06451612903225812,-0.12916666666666665,-0.30415754923413574,-0.0693970420932879,0.5041322314049588,0.7603305785123966,0.5041322314049588,-0.08960573476702516,-0.06071428571428572,BBB,-0.26315789473684215,0.1875,-2.666666666666667
2,2013-12-31,AEE,-2.895229982964225,-0.020242914979757054,0.0,-0.38793969849246235,0.025974025974025983,0.0,-1.5,-0.09677419354838701,-0.10000000000000009,0.01449275362318847,-0.06446540880503149,0.0,-0.046875,-0.2142857142857143,-0.38383838383838387,-0.5014492753623189,0.050602409638554224,0.9215686274509807,0.5398230088495575,-0.15681818181818186,-0.453591606133979,-0.15094339622641506,0.0512820512820511,-0.15736766809728187,-0.04339622641509433,0.047982062780269175,-0.4796747967479674,-0.04689092762487246,-0.17992831541218646,-0.09972333230863817,0.04839676356008393,-0.1299999999999999,0.3415957577999753,0.16610785135512707,-0.08627450980392148,-0.13663366336633664,0.45774371069182385,-0.5555555555555556,-0.0267857142857143,-0.9195742164399764,-0.5954627326528863,0.1615928437454912,0.26432291666666674,0.27083333333333326,-3.123439825947555,0.11004236802931411,0.22186495176848875,0.06205250596658707,0.2492401215805471,-1.5734265734265735,0.025974025974025983,-1.553719008264463,-0.10869565217391297,0.0,-1.5149253731343284,-2.8275862068965516,-1.5190839694656488,-0.10666666666666658,-0.13235294117647067,-0.13541666666666663,0.06072874493927127,-0.06262626262626259,-0.01151631477927062,-0.06262626262626259,-1.7894736842105263,-0.03282275711159721,BBB+,0.1428571428571428,0.16666666666666674,0.0
3,2017-02-28,AEP,-0.43918918918918926,0.031146637265711208,-0.10909090909090902,-0.19730185497470487,0.01840490797546024,0.0653266331658291,-0.6379310344827587,0.07228915662650581,0.044642857142856984,0.022535211267605604,0.06494960806270988,0.039999999999999813,0.023809523809523725,0.0,-0.4666666666666667,-0.16971279373368142,0.022460693785874897,0.375,0.24096385542168663,-0.04726368159203986,-0.19775596072931279,-0.04444444444444451,0.06210526315789466,0.013536379018612488,0.048913043478260754,0.08173273395995095,-0.19718309859154914,0.2936893203883497,0.07993197278911568,-0.3018427061759864,0.1358793247934873,0.01945525291828787,-0.05061333883104835,-0.20089233298109654,0.044742729306487705,0.0620067643742952,,0.47619047619047605,0.09170731707317081,0.0,0.20014760147601485,-0.014494212380473104,-0.1438719134062465,-0.1438719134062465,1.9287705679768217,2.42342799188641,0.017721518987341645,0.0013741926618111577,1.883280757097792,-0.6574074074074074,0.01840490797546024,-0.7884615384615384,0.0235294117647058,-1.3947368421052633,-0.6391752577319587,-0.4181818181818182,-0.6391752577319587,0.10810810810810811,0.0625,0.023809523809523725,-0.015873015873015928,0.014112903225806495,0.08904109589041109,0.014112903225806495,-0.3168724279835391,0.008595988538681931,A-,0.1875,0.1428571428571428,0.5
4,2011-05-31,AES,0.08596214511041,0.08544726301735661,0.6250000000000002,0.1333333333333333,0.020689655172413834,0.032558139534883734,0.22033898305084754,0.022900763358778553,-0.014314928425357865,-0.01735647530040052,-0.16389811738648952,0.024096385542168752,0.0,-0.006172839506172867,0.06666666666666665,0.09053497942386834,-0.067865168539326,0.2038834951456312,0.1004566210045661,-0.022184300341296925,-0.022388059701492602,0.9079754601226993,-0.025579536370903155,-0.10016220600162218,-0.02522068095838592,-0.1053471667996807,-0.09362279511533234,-0.10163204747774479,-0.0976290097629009,-0.34844240116849845,-0.017219043506423337,0.03421052631578947,-0.023690961219254625,0.13296667745066304,0.041818181818181754,-0.057109098070106334,0.4157598499061914,0.1929824561403508,0.09575353871773529,1.8535606820461386,0.034564740307242214,-0.04503937007874015,-0.018566815697963257,-0.018566815697963257,-0.19717045648828857,9.660524800526446,0.004777070063694211,-0.1511854951185495,,0.30769230769230793,0.025559105431310014,-0.01449275362318847,0.026785714285714413,0.016260162601626105,0.16666666666666674,0.0,0.16666666666666674,0.05691056910569103,0.04040404040404022,0.05882352941176472,0.10138248847926268,-0.03301886792452835,-0.009859154929577452,-0.034852546916890104,-0.18934911242603547,,BB-,-0.11111111111111116,0.125,-2.0
5,2016-04-30,AES,-0.13435003631082065,-0.33661336613366133,-0.4017094017094017,-0.33769063180827896,-0.15202702702702697,-0.2207207207207208,-0.12499999999999989,-0.21641791044776126,0.17219917012448116,0.11141304347826075,-0.1205298013245033,0.011764705882352677,0.027027027027026973,-0.577639751552795,0.53125,0.4528301886792452,0.3445033751205402,-0.016129032258064502,-0.04149377593360992,0.05759162303664933,-0.18015267175572514,-1.2958199356913183,0.08367514356029515,0.9432176656151423,0.13454075032341528,1.1347011596788579,-0.5598802395209581,-0.2642444260941371,-0.2364760432766615,-0.09646834000955495,-0.1273685944966222,-0.0025445292620864812,-0.1743431221020093,0.558252427184466,0.03839441535776622,0.9720133667502089,0.0,-0.2941176470588236,0.3199088145896656,0.0,1.3526604207176947,0.2254287598944591,-0.2325213540018981,-0.2325213540018981,0.3503700154394931,-0.902145061728395,-0.2155309033280507,0.1449227735787051,inf,-0.38235294117647056,-0.17757009345794394,-0.38970588235294124,-0.14782608695652177,0.516,-0.023809523809523836,-0.16504854368932043,-0.023809523809523836,-0.18461538461538463,-0.20388349514563098,-0.1507936507936508,-0.4728033472803347,0.19024390243902434,0.18492176386913228,0.18472222222222223,-0.06569343065693434,,BB,0.125,-0.11111111111111116,-2.0
6,2015-09-30,AFL,-0.13516976297245364,-0.09114065606361832,-0.3434343434343434,,0.009615384615384581,0.009615384615384581,-0.29591836734693877,-0.22088353413654616,0.07317073170731692,-0.029612756264236983,0.15875912408759119,-0.048387096774193616,-0.048387096774193616,0.0,,,0.14767932489451496,0.20895522388059695,,0.10869565217391308,,0.0,0.11973315430948284,-0.12341772151898722,-0.07709750566893436,-0.2031119755487636,,,,,,-0.07216494845360832,-0.16822104070426225,-0.11067335243553,-0.21869782971619356,-0.240276035131744,,-0.2727272727272727,-0.18413754853022735,1.8323863636363638,-0.22897423432182795,-0.0341074020319303,-0.03175591531755906,-0.03155940594059392,0.010567757977621328,0.010567757977621328,-0.04958677685950419,0.13111373011196226,0.16901408450704225,-0.046875,0.009615384615384581,-0.05128205128205132,-0.09756097560975618,-0.0029069767441859407,-0.2878048780487805,-0.2606060606060606,-0.2878048780487805,,,-0.050000000000000044,0.027925531914893664,-0.08467741935483863,-0.09561752988047811,-0.08467741935483863,-0.014925373134328401,0.12605042016806722,A-,-0.13636363636363635,0.1578947368421053,-2.0
7,2014-02-28,AGN,0.5861319815334478,0.6174466443815894,0.0,-0.11722797927461148,0.14144736842105265,0.2379032258064515,0.24096385542168663,0.24870466321243523,-0.004878048780487809,0.07182320441988965,-0.21285140562248994,-0.14000000000000012,-0.16326530612244894,0.34696969696969693,-0.2987012987012987,-0.15736040609137059,-0.07771535580524347,1.3636363636363638,0.06315789473684208,-0.0891265597147951,-0.056360708534621606,-0.019629225736095934,0.32439678284182283,0.018808777429467183,0.014814814814814836,0.11403508771929838,0.2658610271903321,0.14650042504958916,0.11735493988499757,0.2972250642056251,-0.15854545454545454,0.006309148264984188,-0.05893933800910556,-0.035471698113207495,-0.0239043824701195,-0.0220661985957874,-0.2882136279926335,-0.27118644067796616,0.5446405056623651,-0.6735812133072407,-0.01861258991343917,0.18363596265529658,0.15650483796002868,0.1605763207350177,0.20335880292900343,0.5503422476918178,0.49021550656428037,0.39328223343927204,-0.41975308641975306,0.2562500000000001,0.03344867358708181,0.25570776255707783,0.11055276381909551,0.0,0.23353293413173648,0.33576642335766405,0.23353293413173648,-0.0023809523809523725,0.0030030030030030463,-0.02732240437158473,-0.002645502645502673,0.012396694214876103,0.028688524590164022,0.012396694214876103,0.09459459459459452,-0.5151515151515151,BBB-,-0.1428571428571429,0.16666666666666674,-2.0
8,2011-12-31,AKS,-0.2917293233082707,-1.4319488817891375,-3.176470588235294,-4.4303797468354436,0.030303030303030276,-1.2352941176470589,0.08641975308641969,-1.4444444444444444,0.2816901408450705,0.08060453400503764,1.3129973474801062,-0.12499999999999989,-0.30555555555555547,-0.8161764705882353,0.6328125,0.29225352112676073,-0.15613218008427587,198.0,0.37614678899082565,-0.04494382022471899,0.0219780219780219,0.0,0.06577415599534331,0.4825581395348839,0.294659300184162,0.5570835495588999,-0.8683788121990369,-0.5012210012210012,-0.36301681054066337,-0.37179037599844145,0.15619672131147544,0.5648351648351646,0.2295457146126556,-0.057614518421340466,0.8039358600583089,1.15100453661698,2.00043630017452,-2.9000000000000004,-0.30669856459330136,0.0,-0.17419216777230906,-0.5048916521898144,3.6495133772016235,3.6495133772016235,-0.3790191620656058,-0.3790191620656058,-0.6836283185840708,-1.093455555910441,0.0,-0.5,-0.16249999999999998,-0.33333333333333337,0.6333333333333335,,0.08641975308641969,-0.14285714285714302,0.08641975308641969,-1.4782608695652173,-1.4444444444444444,0.24675324675324672,-0.1618887015177065,0.24264705882352944,0.5514705882352942,0.23774509803921573,-0.3529411764705883,1.0336134453781511,BB-,-0.11111111111111116,0.125,-2.0
9,2012-06-30,AKS,3.662420382165606,-6.554733727810651,0.18918918918918926,-0.6014760147601477,-1.088235294117647,-9.0,2.4886363636363638,-8.149999999999999,0.15934065934065944,0.03846153846153855,-0.5,0.20634920634920628,0.1399999999999999,-0.52,-0.004784688995215336,0.07356948228882842,-13.519842312746386,0.25628140703517577,0.0033333333333334103,0.0470588235294116,-1.0913978494623655,0.0,0.044784270890223965,0.3999999999999999,0.08819345661450928,0.3376103982669554,-0.5365853658536586,-0.09547123623011011,-0.0962910128388017,0.008993363517955766,0.08643375680580756,-0.018258426966292207,-0.027640763145649005,0.03387470997679842,0.054141414141414046,0.265140102440494,0.42045950269012655,-1.1578947368421053,0.22981366459627317,0.0,0.4965448734559905,-10.181255771006464,-0.9674830508474577,-0.9674830508474577,-0.7601333682008368,-0.7601333682008368,-0.29370629370629364,0.6664388243335613,0.0,2.1111111111111116,-0.5373134328358209,1.75,-1.0816326530612246,,2.4886363636363638,4.500000000000001,2.4886363636363638,-8.545454545454547,-8.0,-0.5520833333333334,-0.1670020120724346,0.16765285996055224,0.24644549763033186,0.16435643564356428,-0.8181818181818181,0.40909090909090917,B+,-0.125,-0.11111111111111116,0.0
