,日期,Close,價平買權次週每日結算價,價平買權近週每日結算價,價平賣權次週每日結算價,價平賣權近週每日結算價,Implied volatility of Call,Implied volatility of Put,Signal of Long Call,Signal of Long Put,Signal of Long Call_E,Signal of Long Put_E,策略累積資金(金額),進場口數,策略近週報酬(點數),Call進場口數,Put進場口數,Call策略近週報酬(點數),Put策略近週報酬(點數)
36,2020-03-06,7622,,84.0,,146.0,,,0,0,1,1,960220.0,4.0,101.5,4.0,4.0,-118.0,-0.0
37,2020-03-09,7652,,7.5,,385.0,,,0,0,1,1,944920.0,4.0,239.0,4.0,4.0,-76.5,-0.0
38,2020-03-10,7495,,1.3,,340.0,,,0,0,1,1,943680.0,4.0,-45.0,4.0,4.0,-6.2,0.0
39,2020-03-11,7033,200.0,0.2,178.0,443.0,0.5133656418151211,0.45689542121545773,1,1,1,1,943460.0,4.0,103.0,4.0,4.0,-1.1,-0.0
40,2020-03-12,6698,,32.5,,468.0,,,0,0,1,1,909360.0,4.0,287.0,4.0,4.0,-170.5,-0.0
41,2020-03-13,6350,,19.5,,785.0,,,0,0,1,1,906760.0,4.0,317.0,4.0,4.0,-13.0,-0.0
42,2020-03-16,6042,,1.5,,1120.0,,,0,0,1,1,903160.0,4.0,335.0,4.0,4.0,-18.0,-0.0
43,2020-03-17,5756,,0.1,,1430.0,,,0,0,1,1,902880.0,4.0,310.0,4.0,4.0,-1.4,-0.0
44,2020-03-18,5193,417.0,0.3,285.0,1490.0,1.4496232746537225,0.9907497200870765,1,1,1,1,902920.0,6.0,60.0,4.0,4.0,0.2,-0.0
45,2020-03-19,5878,,146.0,,565.0,,,0,0,1,1,848120.0,6.0,277.0,4.0,4.0,-274.0,0.0
46,2020-03-20,5502,,370.0,,160.0,,,0,0,1,1,892920.0,6.0,-405.0,4.0,4.0,224.0,0.0
