年月,ME1_BM1,ME1_BM2,ME1_BM3,ME1_BM4,ME1_BM5,ME2_BM1,ME2_BM2,ME2_BM3,ME2_BM4,ME2_BM5,ME3_BM1,ME3_BM2,ME3_BM3,ME3_BM4,ME3_BM5,ME4_BM1,ME4_BM2,ME4_BM3,ME4_BM4,ME4_BM5,ME5_BM1,ME5_BM2,ME5_BM3,ME5_BM4,ME5_BM5
201001,32.89087477869234,-4.695570360680247,-8.750315717429977,-8.279945657305477,-5.332219401079352,-3.5611186380108717,-6.206268443839992,-8.363252817705465,-6.089002967952899,-6.5249164047216635,-12.175665857015579,-8.724318917284618,-7.559459891812934,-8.711082916196128,-7.113856670663627,-9.09465847854399,-7.414895562186668,-5.943013470872404,-5.977921731063503,-8.179227776989997,-6.186834467978323,-2.0925953705014653,-5.602655791491582,-7.959869884418458,-8.79098087862839
201002,0.4612743996824773,-6.456260673677011,-0.3657508520062533,-3.7068878267867804,-1.9217985111184983,4.965301049631184,0.28152994319880426,-0.30132506210026005,-2.3895905249555236,-4.198519356701507,-2.799087747212094,-1.198033274682714,-0.16936530105964487,-0.6982291507304783,-3.043755789999185,-1.0124131755197372,-2.7486990781346714,-4.571870639705631,-3.7770801029339984,-2.4959888858934756,-2.8223777026592,1.146515925480196,-4.685273168769364,-3.489327578960402,-3.8855120124567293
201003,8.01044943595342,15.595325808780283,16.829003700221236,11.374620233899392,9.151003550518434,17.01382144878244,13.654096018542429,14.652281435510933,10.992721218224544,8.537164488588445,13.48949414692718,11.648704686672373,12.136484139113117,9.692281998800777,9.700871236378182,13.410443438725679,11.03240974025821,8.539586092047447,8.267647733861843,8.199345023348977,7.165132127351725,1.89491687945558,5.862599951920264,5.690238589372955,8.779600762641211
201004,9.335598919819764,-1.397550297780184,6.335518965814172,4.250820835823125,4.553978416195823,3.237773951380595,8.009870843911406,0.9275005642444915,1.8760407163412376,0.0916379731897345,1.0521110749851257,-0.34582799315194984,2.37056382534427,0.9732724249020459,-1.3235265923410604,1.882787020028521,2.095163556801404,2.1661747684220374,-1.8231107161885443,0.4498690803339437,2.6880930799985747,0.879702598136275,2.0682812133689694,-0.03341701985847985,-0.4017444385070283
201005,-10.396294717042853,-2.172570284784378,-8.820829610487834,-8.777199797160243,-7.532011935912227,-6.22256133015962,-7.443622515919589,-11.024120877499513,-8.652531764313137,-10.632069919699783,-9.007190563372252,-6.48814624526227,-9.45566780693004,-10.036409630287226,-11.73116088129997,-7.716725528711244,-6.881043398574376,-9.721227396062526,-10.950684480870768,-8.869110429107499,-5.924697372247454,-7.18786525163533,-6.917846749633025,-9.152586503746006,-7.581057495445743
201006,2.0039056340647083,2.0926639885643072,2.818357170222604,0.29563668131171306,-0.8170683238845533,1.6483578585187253,0.7532770226468204,0.1179341116962306,1.8766824202100012,-0.11267923057744639,1.9077378717472122,-1.2830531855494847,1.2765809349336066,0.5761521124586833,0.21138178951025896,0.3377619184658439,-1.5041405969498094,-0.4763564863304332,0.8646018107154106,1.8577493138248673,-0.33403177750203905,-0.87283561450697,-0.6303391979615678,1.3205578911229507,-0.8099767263649842
201007,7.377466086557322,11.633901509423234,8.763888521788664,7.800448959063157,7.294918210915818,8.125769284477462,13.030434541426457,8.93373150795714,8.276008715222865,6.541194890967503,9.053248229767815,8.660064758346769,9.042139591035571,7.287696596359847,8.5845629142454,9.27852790424182,7.05211392747709,8.01567329191061,8.850309326683448,8.273239076917958,11.113991173244175,7.4519344205545,7.580182761579364,10.655322013514898,6.969726874460781
201008,3.3444370437841577,-0.2115169759899708,-8.662875208124373,-6.630694724842767,-3.368417636931024,2.5804355572392494,-1.9110015489743097,-5.509723548000958,-3.734470495294067,-3.554288121600734,-0.14070338197624305,-0.9537345007893805,0.16601479892761398,-1.8803932058376334,-0.8970073065492177,0.7586970561159873,1.4207998792281284,1.1470184396900895,-2.236117096531316,-3.3949577502211477,-0.6199664867612138,1.6329916134958966,0.7775737182181041,2.684517961047608,-4.592994406339066
201009,6.067741358136996,5.546939148498398,5.63940987803764,7.204866056544268,6.214025488223825,8.824436695863604,9.514217528424606,7.111244971718043,8.191746923388322,6.081998355862007,11.143598619921189,7.95533770229938,7.285719621961741,5.44658014403772,8.227065027521418,10.84261314600834,11.093545654214951,9.367150258756002,7.391673199114288,8.337824480013868,7.796418448595302,9.195066517136253,7.233017612550813,12.62518495261383,7.27053901241019
201010,-1.8171706339341207,-0.28313160659631836,-3.046774517955252,-2.2144675226374857,-3.378219823049223,-1.5740540570210846,-2.2702704878715205,-0.14603671770174423,-1.5456551580973725,-1.1366713080213904,-2.344484465517901,-1.395383212453313,-1.317664037539334,-0.5249088095991533,0.01233160518085187,-4.10574598381342,-1.9868683915141387,-2.2726282275797467,0.8473397254202701,0.4757065714644142,2.631209652742852,4.776748070937867,1.3323194057155647,1.2443937454890648,-0.1732464889292455
201011,-0.35503628250892394,-3.404939466680058,-3.704110448921718,-6.030496604745264,-5.678062556950527,1.5415045287735956,0.7223607575402673,-3.3943279228728835,-1.6230462378081891,-2.2770532985276764,-0.5060666772877899,-2.23393429122163,0.14373320143615193,-3.1194791974795693,-3.2560443764580858,5.12827889915987,0.6298629655987706,0.5317796819590129,2.1885878334040596,-1.2273481253444611,5.4666004046403724,0.22096716187212026,-0.4351397580341893,-1.7095558972465452,-0.16919240735903746
201012,-2.8657870784695207,4.3936105211173,7.195542889670353,6.510451304183684,4.088475519475491,8.40697614593784,3.732837938663412,4.36854714729558,6.518445116616859,6.67642928929457,3.4712218982358944,5.79385276502542,6.533549279594104,7.2522475123899355,9.098003768358078,3.683467813183121,4.016514971428571,4.402980846215601,8.45576494544099,7.355313619397502,8.520125502200756,5.451548597319484,11.043882258314818,16.189171885018464,4.198123223404915
201101,10.898093720661269,-3.1556597512759685,-1.1302179456424648,-1.434395163658848,0.6956672015640173,1.363566979136118,0.4645260676621737,1.0932723376224938,0.4009506552402823,1.3611204099732932,2.0449566316681578,-0.3707433462093082,-1.9459711548999505,1.4195000055712894,-0.6223348327880166,0.4371933853068261,1.2556801519562655,-1.882128127879936,-0.38613666347544445,2.1021841586219536,3.2584481514712564,1.2045435323700233,2.736527774649367,2.0473344011261667,-2.908938307942598
