,datadate,ticker,after-tax interest coverage,interest coverage ratio,cash flow/ total debt,operating margin before dep.,operating margin after dep.,return on equity,return on capital employed,LTD/ total assets,total debt/ total assets,book/ market,interest/ average LTD,interest/ average total debt,cash balance/ total liabilities,total debt/ EBITDA,short-term debt/ total debt,LTD/ total liabilities,free cash flow/ operating cash flow,total liabilities/ total tangible assets,LTD/ book equity,total debt/ capital,total debt/ equity,asset turnover,receivables turnover,payables turnover,sales/invested capital,sales/stockholders equity,accruals/average assets,price/ book,shillers cyclically adjusted P/E ratio,enterprise value multiple,"price/ operating earnings (Basic, Excl. EI)","price/ operating earnings (Diluted, Excl. EI)","P/E (Diluted, Excl. EI)","P/E (Diluted, Incl. EI)",price/ sales,price/ cash flow,dividend payout ratio,net profit magin,gross profit margin,pre-tax profit margin,return on assets,after-tax return on average common equity,after-tax return on invested capital,after-tax return on average stockholders' equity,gross profit/ total assets,common equity/invested capital,LTD/ invested capital,total debt/ invested capital,capitalization ratio,cash flow margin,splticrm,rating,prev_rating,rating_diff,after-tax interest coverage_change,interest coverage ratio_change,cash flow/ total debt_change,operating margin before dep._change,return on equity_change,total debt/ total assets_change,book/ market_change,interest/ average LTD_change,interest/ average total debt_change,cash balance/ total liabilities_change,free cash flow/ operating cash flow_change,total liabilities/ total tangible assets_change,total debt/ capital_change,total debt/ equity_change,asset turnover_change,receivables turnover_change,payables turnover_change,sales/invested capital_change,sales/stockholders equity_change,price/ book_change,shillers cyclically adjusted P/E ratio_change,enterprise value multiple_change,"price/ operating earnings (Basic, Excl. EI)_change","price/ operating earnings (Diluted, Excl. EI)_change","P/E (Diluted, Excl. EI)_change","P/E (Diluted, Incl. EI)_change",price/ sales_change,price/ cash flow_change,gross profit margin_change,after-tax return on average common equity_change,after-tax return on average stockholders' equity_change,gross profit/ total assets_change,common equity/invested capital_change,cash flow margin_change,rating_change,prev_rating_change,rating_diff_change
37,2014-05-31,CHK,2.08,2.927,0.195,0.305,0.155,0.067,0.113,0.309,0.567,1.007,0.078,0.077,0.04,2.233,0.008,0.541,-0.393,0.641,0.781,0.501,1.481,0.453,7.911,8.168,0.613,1.185,-0.092,1.118,-200.35,5.571,544.167,499.7,468.652,448.364,1.0,3.841,0.691,0.057,0.328,0.106,0.138,0.071,0.066,0.068,0.148,0.419,0.414,0.418,0.445,0.216,BB+,10,8.0,2.0,-0.407,-0.223,-0.211,-0.228,-0.442,-0.026,-0.114,0.2,0.116,2.333,-0.787,-0.038,0.055,0.006,0.495,0.676,0.0,0.412,0.547,0.744,0.52,-0.122,0.317,0.253,0.232,0.086,0.111,0.865,-0.253,-0.466,-0.424,0.113,-0.089,-0.329,0.25,-0.111,-3.0
38,2015-10-31,CHK,-8.542,-11.395,0.206,-0.285,-0.447,-0.401,-0.333,0.321,0.581,0.986,0.062,0.059,0.111,-2.315,0.062,0.527,-1.263,0.692,0.792,0.511,1.516,0.485,8.939,8.168,0.669,1.266,-0.25,0.65,13.418,-5.187,-139.39,-138.04,-130.59,-130.59,0.271,1.739,0.184,-0.374,-0.27,-0.492,-0.127,-0.535,-0.179,-0.419,-0.131,0.411,0.422,0.442,0.444,-0.207,BB-,8,10.0,-2.0,-5.107,-4.893,0.056,-1.934,-6.985,0.025,-0.021,-0.205,-0.234,1.775,2.214,0.08,0.02,0.024,0.071,0.13,0.0,0.091,0.068,-0.419,-1.067,-1.931,-1.256,-1.276,-1.279,-1.291,-0.729,-0.547,-1.823,-8.535,-7.162,-1.885,-0.019,-1.958,-0.2,0.25,-2.0
39,2015-12-31,CHK,-16.263,-20.854,0.206,-0.772,-0.945,-0.852,-0.667,0.37,0.621,0.369,0.064,0.059,0.141,-0.988,0.066,0.557,-1.628,0.765,1.082,0.563,1.796,0.485,9.115,8.168,0.67,1.403,-0.415,1.668,-10.293,-1.989,-51.195,-50.905,-49.288,-49.288,0.197,1.589,0.184,-0.782,-0.755,-1.01,-0.325,-1.119,-0.378,-0.859,-0.366,0.342,0.477,0.511,0.5,-0.604,B,6,8.0,-2.0,0.904,0.83,0.0,1.709,1.125,0.069,-0.626,0.032,0.0,0.27,0.289,0.105,0.102,0.185,0.0,0.02,0.0,0.001,0.108,1.566,-1.767,-0.617,-0.633,-0.631,-0.623,-0.623,-0.273,-0.086,1.796,1.092,1.05,1.794,-0.168,1.918,-0.25,-0.2,0.0
40,2016-01-31,CHK,-16.263,-20.854,0.206,-0.772,-0.945,-0.852,-0.667,0.37,0.621,0.369,0.064,0.059,0.141,-0.988,0.066,0.557,-1.628,0.765,1.082,0.563,1.796,0.485,9.115,8.168,0.67,1.403,-0.415,1.257,-7.754,-1.989,-38.567,-38.348,-37.13,-37.13,0.149,1.197,0.184,-0.782,-0.755,-1.01,-0.325,-1.119,-0.378,-0.859,-0.366,0.342,0.477,0.511,0.5,-0.604,CCC+,3,6.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.246,-0.247,0.0,-0.247,-0.247,-0.247,-0.247,-0.244,-0.247,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,-0.25,0.5
41,2016-02-29,CHK,-18.818,-24.74,0.082,-1.262,-1.436,-1.05,-1.04,0.62,0.862,0.372,0.069,0.066,0.055,-0.668,0.035,0.694,-2.056,1.046,1.387,0.851,6.997,0.439,7.586,8.168,0.999,5.97,-0.548,1.258,-0.784,-1.044,-0.117,-0.117,-0.116,-0.116,0.136,1.407,0.177,-1.151,-1.243,-1.496,-0.554,-2.3,-0.414,-1.542,-0.914,-0.072,0.812,0.842,0.829,-0.972,CCC,2,3.0,-1.0,0.157,0.186,-0.602,0.635,0.232,0.388,0.008,0.078,0.119,-0.61,0.263,0.367,0.512,2.896,-0.095,-0.168,0.0,0.491,3.255,0.001,-0.899,-0.475,-0.997,-0.997,-0.997,-0.997,-0.087,0.175,0.646,1.055,0.795,1.497,-1.211,0.609,-0.333,-0.5,-0.667
42,2016-08-31,CHK,-14.176,-17.176,0.082,-0.988,-1.141,-2.128,-0.898,0.629,0.87,0.389,0.064,0.06,0.044,-1.119,0.062,0.677,-12.474,1.045,5.546,0.861,7.63,0.569,8.945,8.168,0.791,4.988,-0.513,1.263,-2.146,-1.809,-85.178,-85.178,-86.689,-86.689,0.514,28.852,0.132,-1.009,-0.965,-1.172,-0.459,-8.822,-0.577,-2.321,-0.549,-0.093,0.82,0.874,0.838,-0.836,CC,1,2.0,-1.0,-0.247,-0.306,0.0,-0.217,1.027,0.009,0.046,-0.072,-0.091,-0.2,5.067,-0.001,0.012,0.09,0.296,0.179,0.0,-0.208,-0.164,0.004,1.737,0.733,727.017,727.017,746.319,746.319,2.779,19.506,-0.224,2.836,0.505,-0.399,0.292,-0.14,-0.5,-0.333,0.0
43,2016-09-30,CHK,-14.176,-17.176,0.082,-0.988,-1.141,-2.128,-0.898,0.629,0.87,0.391,0.064,0.06,0.044,-1.119,0.062,0.677,-12.474,1.045,5.546,0.861,7.63,0.569,8.945,8.168,0.791,4.988,-0.513,1.264,-2.119,-1.809,-84.105,-84.105,-85.597,-85.597,0.507,28.488,0.125,-1.009,-0.965,-1.172,-0.459,-8.822,-0.577,-2.321,-0.549,-0.093,0.82,0.874,0.838,-0.836,CCC+,3,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,-0.013,0.0,-0.013,-0.013,-0.013,-0.013,-0.014,-0.013,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-0.5,-3.0
44,2017-01-31,CHK,-9.691,-10.482,0.082,-0.574,-0.719,-3.474,-0.644,0.69,0.944,0.403,0.061,0.058,0.015,-2.076,0.059,0.687,-8.245,1.102,5.391,0.953,24.914,0.579,8.693,8.168,0.822,15.274,-0.404,1.268,-2.132,-3.415,-135.36,-135.36,-141.14,-141.14,0.673,24.994,0.096,-0.733,-0.547,-0.811,-0.289,5.695,-0.461,-3.238,-0.317,-0.24,0.921,0.979,0.945,-0.562,B-,5,3.0,2.0,-0.316,-0.39,0.0,-0.419,0.633,0.085,0.031,-0.047,-0.033,-0.659,-0.339,0.055,0.107,2.265,0.018,-0.028,0.0,0.039,2.062,0.003,0.006,0.888,0.609,0.609,0.649,0.649,0.327,-0.123,-0.433,-1.646,0.395,-0.423,1.581,-0.328,0.667,2.0,0.0
45,2014-05-31,CI,8.211,12.304,0.016,0.12,0.102,0.195,0.218,0.096,0.811,0.469,0.054,0.052,0.101,1.333,0.038,0.114,0.752,31.712,0.493,0.563,4.321,0.602,2.427,3.631,2.134,3.207,-0.001,2.285,17.989,6.999,12.299,12.557,12.974,12.974,0.738,11.976,0.006,0.06,0.12,0.09,0.072,0.195,0.148,0.195,0.072,0.665,0.328,0.341,0.33,0.078,A,22,19.0,3.0,0.4,-0.003,-0.704,-0.062,0.373,-0.015,-0.135,0.0,0.02,0.074,1.35,-0.2,-0.049,-0.076,0.064,0.036,0.158,0.016,-0.003,0.067,-0.005,0.357,0.191,0.197,-0.189,-0.189,0.09,-0.65,-0.062,0.373,0.373,0.0,0.018,0.258,0.158,0.357,-0.4
46,2017-01-31,CIEN,2.281,2.946,0.137,0.115,0.064,0.186,0.084,0.447,0.734,0.283,0.049,0.044,0.498,4.327,0.185,0.496,0.63,7.337,1.371,0.666,2.761,0.933,4.47,6.07,1.432,3.393,-0.078,4.459,-91.931,13.42,41.966,43.464,47.725,47.725,1.314,11.802,0.0,0.028,0.473,0.033,0.107,0.105,0.068,0.105,0.427,0.422,0.578,0.71,0.578,0.082,BB-,8,7.0,1.0,0.658,0.066,0.087,0.045,-2.431,-0.122,0.101,0.256,0.128,0.175,-0.083,-0.365,-0.159,-0.458,-0.106,-0.021,-0.045,-0.038,-0.467,0.208,3.0,-0.107,-0.127,-0.174,-0.49,-0.49,0.413,0.3,0.017,0.18,0.18,-0.121,0.803,0.262,0.143,0.167,0.0
