date,ME1_BM1,ME1_BM2,ME1_BM3,ME1_BM4,ME1_BM5,ME2_BM1,ME2_BM2,ME2_BM3,ME2_BM4,ME2_BM5,ME3_BM1,ME3_BM2,ME3_BM3,ME3_BM4,ME3_BM5,ME4_BM1,ME4_BM2,ME4_BM3,ME4_BM4,ME4_BM5,ME5_BM1,ME5_BM2,ME5_BM3,ME5_BM4,ME5_BM5,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,bm1,bm2,bm3,bm4,bm5,bm6,bm7,bm8,bm9,bm10
201001,32.89087477869234,-4.695570360680247,-8.750315717429977,-8.279945657305477,-5.332219401079352,-3.5611186380108717,-6.206268443839992,-8.363252817705465,-6.089002967952899,-6.5249164047216635,-12.175665857015579,-8.724318917284618,-7.559459891812934,-8.711082916196128,-7.113856670663627,-9.09465847854399,-7.414895562186668,-5.943013470872404,-5.977921731063503,-8.179227776989997,-6.186834467978323,-2.0925953705014653,-5.602655791491582,-7.959869884418458,-8.79098087862839,-2.2648486949373168,-6.437284749880727,-8.296804173417,-4.997506020848023,-7.932275289562852,-9.722709486572736,-6.610152655930114,-8.120098410063584,-6.4088041523160815,-5.456439721414229,-5.02722758120947,-8.424896271618579,-6.732657677012961,-1.436505756726103,-4.770208689085142,-8.365228725962641,-8.34169186115485,-7.097961036337725,-8.389895310321254,-7.958640191320999
201002,0.4612743996824773,-6.456260673677011,-0.3657508520062533,-3.7068878267867804,-1.9217985111184983,4.965301049631184,0.28152994319880426,-0.30132506210026005,-2.3895905249555236,-4.198519356701507,-2.799087747212094,-1.198033274682714,-0.16936530105964487,-0.6982291507304783,-3.043755789999185,-1.0124131755197372,-2.7486990781346714,-4.571870639705631,-3.7770801029339984,-2.4959888858934756,-2.8223777026592,1.146515925480196,-4.685273168769364,-3.489327578960402,-3.8855120124567293,-1.7019724826692804,-2.860701877649361,-0.48373589888645785,-0.917505621100397,-2.0581600218979195,-0.9095039773446194,-1.4242509091766913,-3.5697226588564717,-4.069000330372617,-2.187984467894423,-2.426740309240366,-3.014029529256166,1.7638377691831948,-0.875661399495986,-4.52119308637652,-3.84419116299503,-4.005427642422125,-2.6397242475597382,-1.934897181278102,-5.71080620470677
201003,8.01044943595342,15.595325808780283,16.829003700221236,11.374620233899392,9.151003550518434,17.01382144878244,13.654096018542429,14.652281435510933,10.992721218224544,8.537164488588445,13.48949414692718,11.648704686672373,12.136484139113117,9.692281998800777,9.700871236378182,13.410443438725679,11.03240974025821,8.539586092047447,8.267647733861843,8.199345023348977,7.165132127351725,1.89491687945558,5.862599951920264,5.690238589372955,8.779600762641211,11.642529932142967,12.690144775821931,12.643332784984237,12.949477626082228,11.109057774748305,11.685386597288225,11.677471221618761,9.519989646923005,8.712207453641444,5.221342027794144,7.819232795614354,7.78135440982852,3.8887905513795333,3.2129182966756753,8.136376754898166,6.613820390126772,6.342818192348167,6.8998692764896505,8.585533497705718,8.926917901715461
201004,9.335598919819764,-1.397550297780184,6.335518965814172,4.250820835823125,4.553978416195823,3.237773951380595,8.009870843911406,0.9275005642444915,1.8760407163412376,0.0916379731897345,1.0521110749851257,-0.34582799315194984,2.37056382534427,0.9732724249020459,-1.3235265923410604,1.882787020028521,2.095163556801404,2.1661747684220374,-1.8231107161885443,0.4498690803339437,2.6880930799985747,0.879702598136275,2.0682812133689694,-0.03341701985847985,-0.4017444385070283,5.401095609425082,3.9470567917807604,2.328018370723347,3.088675490509476,1.5115582245416745,0.254253969362945,1.4221320830535291,1.4287365637276632,1.8027845104722724,1.6271383858075585,0.8614199842094835,6.434448126797396,0.2245132262422892,2.129264507512584,1.7950626155132339,2.2794801376255602,-0.02240811791609885,0.2240534828894261,0.023982149433969834,-0.1914495436920782
201005,-10.396294717042853,-2.172570284784378,-8.820829610487834,-8.777199797160243,-7.532011935912227,-6.22256133015962,-7.443622515919589,-11.024120877499513,-8.652531764313137,-10.632069919699783,-9.007190563372252,-6.48814624526227,-9.45566780693004,-10.036409630287226,-11.73116088129997,-7.716725528711244,-6.881043398574376,-9.721227396062526,-10.950684480870768,-8.869110429107499,-5.924697372247454,-7.18786525163533,-6.917846749633025,-9.152586503746006,-7.581057495445743,-9.384219364239245,-6.5141044601610725,-9.925065768252091,-8.175461422005736,-8.083271532481582,-9.89503301647229,-7.950852367024363,-8.721672373613808,-7.460650949887224,-6.770519398223107,-2.6523575625258444,-12.591203752206885,-6.327462731545264,-7.7448498087457525,-6.884849107216156,-8.734748242171143,-9.248591586571935,-9.427230590920944,-8.152391522517942,-8.57737413173976
201006,2.0039056340647083,2.0926639885643072,2.818357170222604,0.29563668131171306,-0.8170683238845533,1.6483578585187253,0.7532770226468204,0.1179341116962306,1.8766824202100012,-0.11267923057744639,1.9077378717472122,-1.2830531855494847,1.2765809349336066,0.5761521124586833,0.21138178951025896,0.3377619184658439,-1.5041405969498094,-0.4763564863304332,0.8646018107154106,1.8577493138248673,-0.33403177750203905,-0.87283561450697,-0.6303391979615678,1.3205578911229507,-0.8099767263649842,-0.10994971470787021,1.5609328207988744,-0.3958981813114449,1.8168916689542114,1.737313390487504,-0.35458825993562065,0.6607034904213617,-0.2473805803873385,0.42349677225995785,-0.46377126714650524,-0.04108369966327103,-0.6903646542372174,-4.589141242608709,3.1120374244570574,-1.2275004054334504,1.5805074466907107,2.802641162756957,-0.7458982870386468,-0.7158689179675939,0.41725783380637427
201007,7.377466086557322,11.633901509423234,8.763888521788664,7.800448959063157,7.294918210915818,8.125769284477462,13.030434541426457,8.93373150795714,8.276008715222865,6.541194890967503,9.053248229767815,8.660064758346769,9.042139591035571,7.287696596359847,8.5845629142454,9.27852790424182,7.05211392747709,8.01567329191061,8.850309326683448,8.273239076917958,11.113991173244175,7.4519344205545,7.580182761579364,10.655322013514898,6.969726874460781,7.4008846814875655,9.082935710877152,8.890671348723933,8.796684797523518,8.271699998115063,8.649468554849514,7.758698295636713,8.77519776661748,9.827748332587745,9.355368990610748,12.64251464387653,8.626809753113774,6.4408119684939225,9.465140680676956,6.9867131183118,9.857158498790024,10.04444159575905,9.755885800790697,6.334256033291515,9.11035256158011
201008,3.3444370437841577,-0.2115169759899708,-8.662875208124373,-6.630694724842767,-3.368417636931024,2.5804355572392494,-1.9110015489743097,-5.509723548000958,-3.734470495294067,-3.554288121600734,-0.14070338197624305,-0.9537345007893805,0.16601479892761398,-1.8803932058376334,-0.8970073065492177,0.7586970561159873,1.4207998792281284,1.1470184396900895,-2.236117096531316,-3.3949577502211477,-0.6199664867612138,1.6329916134958966,0.7775737182181041,2.684517961047608,-4.592994406339066,-2.0595564022696036,-4.958382536266602,-4.804815841354954,-1.4649321039276384,-1.0574320395156673,-0.5001050163152955,-1.3244094901201888,0.461951095419156,1.0300973849183788,-0.1472428290305249,-0.13672856773234335,-0.940041775797331,2.1183635635246536,0.7596433860685582,1.4123212421555478,-1.6557860044412946,0.7077364828381472,1.8972836326082412,-3.6430839804748874,-4.926948814670936
201009,6.067741358136996,5.546939148498398,5.63940987803764,7.204866056544268,6.214025488223825,8.824436695863604,9.514217528424606,7.111244971718043,8.191746923388322,6.081998355862007,11.143598619921189,7.95533770229938,7.285719621961741,5.44658014403772,8.227065027521418,10.84261314600834,11.093545654214951,9.367150258756002,7.391673199114288,8.337824480013868,7.796418448595302,9.195066517136253,7.233017612550813,12.62518495261383,7.27053901241019,3.70905753931545,7.598381950243944,8.641122412583558,7.508386477673709,7.513206873099085,8.208096088567165,10.10982869930737,9.497815180475191,10.40481420933351,8.272216060198208,9.512687243878199,6.710863892072769,9.046810948368577,9.628869693037696,6.982251870412453,8.041332547822325,7.613692708452124,14.868309600140563,8.133862490400052,6.967556918723105
201010,-1.8171706339341207,-0.28313160659631836,-3.046774517955252,-2.2144675226374857,-3.378219823049223,-1.5740540570210846,-2.2702704878715205,-0.14603671770174423,-1.5456551580973725,-1.1366713080213904,-2.344484465517901,-1.395383212453313,-1.317664037539334,-0.5249088095991533,0.01233160518085187,-4.10574598381342,-1.9868683915141387,-2.2726282275797467,0.8473397254202701,0.4757065714644142,2.631209652742852,4.776748070937867,1.3323194057155647,1.2443937454890648,-0.1732464889292455,-3.826704853455039,-1.8388646187292463,-1.5048987003143666,-1.2828052321454684,-0.44276135638197067,-1.73748918880708,-1.5927763213514288,-2.2063246610731344,3.0467300251568,2.502372981913153,2.2631528538297134,1.8165182164115492,5.173088245320746,1.0805967873418607,0.17442439176260288,1.1901539454857675,2.26449771840533,-1.4533841937636114,0.5378140779357152,-1.5409351828872229
