日期,價平買權次週每日結算價,價平買權近週每日結算價,價平賣權次週每日結算價,價平賣權近週每日結算價
2020/9/16,138.0,418.0,107.0,0.1
2020/9/17,,79.0,,128.0
2020/9/18,,73.0,,100.0
2020/9/21,,16.0,,196.0
2020/9/22,,1.9,,276.0
2020/9/23,182.0,0.2,84.0,323.0
2020/9/24,,23.0,,274.0
2020/9/25,,13.0,,271.0
2020/9/28,,42.0,,82.0
2020/9/29,,23.0,,69.0
2020/9/30,150.0,28.5,94.0,0.1
2020/10/5,,142.0,,30.0
2020/10/6,,256.0,,1.4
2020/10/7,112.0,309.0,84.0,0.3
2020/10/8,,187.0,,41.0
2020/10/12,,209.0,,9.0
2020/10/13,,208.0,,2.6
2020/10/14,135.0,150.0,94.0,0.1
2020/10/15,,100.0,,106.0
2020/10/16,,42.5,,143.0
2020/10/19,,85.0,,39.0
2020/10/20,,46.0,40.5,40.5
2020/10/21,134.0,10.0,82.0,0.1
2020/10/22,,146.0,,54.0
2020/10/23,,126.0,,30.0
2020/10/26,,128.0,,16.0
2020/10/27,,80.0,,13.0
2020/10/28,183.0,0.2,90.0,28.5
2020/10/29,,101.0,,144.0
2020/10/30,,30.5,,251.0
2020/11/2,,38.0,,152.0
2020/11/3,,86.0,,52.0
2020/11/4,162.0,165.0,114.0,0.1
2020/11/5,,140.0,,72.0
2020/11/6,,153.0,,48.5
2020/11/9,,294.0,,4.8
2020/11/10,,240.0,,2.3
2020/11/11,127.0,399.0,116.0,0.3
2020/11/12,,91.0,,113.0
2020/11/13,,105.0,,71.0
2020/11/16,,334.0,,5.0
2020/11/17,,375.0,,1.9
2020/11/18,132.0,510.0,99.0,0.2
2020/11/19,,139.0,,72.0
2020/11/20,,121.0,,62.0
2020/11/23,,212.0,,11.5
2020/11/24,,129.0,,8.7
2020/11/25,125.0,53.0,98.0,0.2
2020/11/26,,186.0,,29.0
2020/11/27,,208.0,,17.5
2020/11/30,,97.0,,44.0
2020/12/1,,196.0,,3.9
2020/12/2,127.0,280.0,101.0,0.1
2020/12/3,,123.0,,72.0
2020/12/4,,232.0,,25.5
2020/12/7,,312.0,,5.8
2020/12/8,,410.0,,1.0
2020/12/9,144.0,449.0,97.0,0.2
2020/12/10,,60.0,,170.0
2020/12/11,,41.0,,154.0
2020/12/14,,16.0,,163.0
2020/12/15,,1.2,,270.0
2020/12/16,180.0,0.1,63.0,27.0
2020/12/17,,180.0,,41.0
2020/12/18,,134.0,,52.0
2020/12/21,,254.0,,7.3
2020/12/22,,55.0,,75.0
2020/12/23,158.0,84.0,83.0,0.1
2020/12/24,,220.0,,29.0
2020/12/25,,261.0,,13.5
2020/12/28,,387.0,,4.0
2020/12/29,,405.0,,0.8
2020/12/30,143.0,540.0,78.0,0.3
2020/12/31,,170.0,,51.0
2021/1/4,,306.0,,7.4
2021/1/5,,411.0,,1.5
2021/1/6,171.0,335.0,136.0,0.2
2021/1/7,,377.0,,32.0
2021/1/8,,580.0,,16.5
2021/1/11,,660.0,,4.5
2021/1/12,,615.0,,2.2
2021/1/13,180.0,860.0,168.0,0.1
2021/1/14,,146.0,,168.0
2021/1/15,,88.0,,203.0
2021/1/18,,43.0,,186.0
2021/1/19,,167.0,,26.0
2021/1/20,226.0,16.0,143.0,0.1
2021/1/21,,498.0,,40.5
2021/1/22,,354.0,,40.0
2021/1/25,,287.0,,32.0
2021/1/26,,70.0,,88.0
2021/1/27,194.0,49.0,153.0,0.1
2021/1/28,,67.0,,299.0
2021/1/29,,8.4,,550.0
2021/2/1,,16.5,,272.0
2021/2/2,,144.0,,35.0
2021/2/3,239.0,117.0,216.0,0.1
2021/2/4,,163.0,,217.0
2021/2/5,,195.0,,143.0
2021/2/17,222.0,580.0,134.0,0.3
2021/2/18,,223.0,,101.0
2021/2/19,,166.0,,107.0
2021/2/22,,190.0,,59.0
2021/2/23,,211.0,,19.5
2021/2/24,227.0,0.1,147.0,64.0
2021/2/25,,340.0,,52.0
2021/2/26,,88.0,,244.0
2021/3/2,,16.5,,221.0
2021/3/3,220.0,33.0,162.0,0.1
2021/3/4,,89.0,,280.0
2021/3/5,,48.5,,314.0
2021/3/8,,17.0,,321.0
2021/3/9,,5.3,,299.0
2021/3/10,201.0,0.1,174.0,273.0
2021/3/11,,373.0,,55.0
2021/3/12,,397.0,,21.0
2021/3/15,,365.0,,12.5
2021/3/16,,460.0,,1.6
2021/3/17,170.0,345.0,105.0,0.1
2021/3/18,,194.0,,66.0
2021/3/19,,68.0,,158.0
2021/3/22,,98.0,,77.0
2021/3/23,,71.0,,56.0
2021/3/24,178.0,0.2,114.0,121.0
2021/3/25,,190.0,,76.0
2021/3/26,,378.0,,15.0
2021/3/29,,495.0,,5.7
2021/3/30,,590.0,,0.6
2021/3/31,144.0,494.0,90.0,0.1
2021/4/1,,214.0,,41.5
2021/4/6,,343.0,,0.7
2021/4/7,142.0,390.0,101.0,0.1
2021/4/8,,225.0,,31.5
2021/4/9,,159.0,,51.0
2021/4/12,,133.0,,33.0
2021/4/13,,90.0,,25.0
2021/4/14,141.0,67.0,130.0,0.2
2021/4/15,,281.0,,58.0
2021/4/16,,327.0,,21.0
2021/4/19,,425.0,,5.3
2021/4/20,,475.0,,1.7
2021/4/21,195.0,381.0,115.0,0.2
2021/4/22,,166.0,,119.0
2021/4/23,,232.0,,47.5
2021/4/26,,462.0,,6.8
2021/4/27,,505.0,,1.1
2021/4/28,176.0,444.0,115.0,0.1
2021/4/29,,172.0,,78.0
2021/5/3,,19.0,,233.0
2021/5/4,,0.9,,535.0
2021/5/5,222.0,0.1,183.0,610.0
2021/5/6,,297.0,,86.0
2021/5/7,,560.0,,13.5
2021/5/10,,500.0,,5.1
2021/5/11,,49.0,,193.0
2021/5/12,429.0,0.5,332.0,855.0
2021/5/13,,259.0,,295.0
2021/5/14,,334.0,,168.0
2021/5/17,,76.0,,414.0
2021/5/18,,565.0,,18.5
2021/5/19,316.0,540.0,258.0,0.2
2021/5/20,,260.0,,245.0
2021/5/21,,402.0,,108.0
2021/5/24,,385.0,,62.0
2021/5/25,,600.0,,5.1
2021/5/26,214.0,635.0,172.0,0.2
2021/5/27,,163.0,,204.0
2021/5/28,,343.0,,62.0
2021/5/31,,454.0,,20.5
2021/6/1,,560.0,,2.0
2021/6/2,236.0,530.0,157.0,0.2
2021/6/3,,290.0,,88.0
2021/6/4,,201.0,,122.0
2021/6/7,,164.0,,99.0
2021/6/8,,112.0,,50.0
2021/6/9,184.0,0.1,173.0,103.0
2021/6/10,,274.0,,64.0
2021/6/11,,301.0,,32.0
2021/6/15,,450.0,,2.4
2021/6/16,216.0,397.0,98.0,0.1
2021/6/17,,253.0,,63.0
2021/6/18,,201.0,,64.0
2021/6/21,,47.5,,178.0
2021/6/22,,32.0,,99.0
2021/6/23,208.0,147.0,116.0,0.1
2021/6/24,,231.0,,69.0
2021/6/25,,280.0,,41.0
2021/6/28,,354.0,,11.0
2021/6/29,,358.0,,3.5
2021/6/30,172.0,491.0,108.0,0.2
2021/7/1,,134.0,,124.0
2021/7/2,,113.0,,110.0
2021/7/5,,245.0,,18.5
2021/7/6,,225.0,,8.3
2021/7/7,173.0,100.0,117.0,0.3
2021/7/8,,153.0,,105.0
2021/7/9,,65.0,,173.0
2021/7/12,,106.0,,70.0
2021/7/13,,103.0,,34.5
2021/7/14,165.0,0.2,141.0,4.3
2021/7/15,,244.0,,72.0
2021/7/16,,145.0,,70.0
2021/7/19,,68.0,,124.0
2021/7/20,,4.2,,295.0
2021/7/21,288.0,0.4,118.0,420.0
2021/7/22,,319.0,,47.0
2021/7/23,,313.0,,37.5
2021/7/26,,153.0,,55.0
2021/7/27,,85.0,,53.0
2021/7/28,269.0,0.3,153.0,178.0
2021/7/29,,485.0,,30.0
2021/7/30,,358.0,,55.0
2021/8/2,,575.0,,5.9
2021/8/3,,600.0,,1.8
2021/8/4,174.0,655.0,108.0,655.0
2021/8/5,,147.0,,104.0
2021/8/6,,82.0,,143.0
2021/8/9,,41.5,,139.0
2021/8/10,,3.0,,217.0
2021/8/11,169.0,0.1,146.0,379.0
2021/8/12,,143.0,,133.0
2021/8/13,,39.0,,255.0
2021/8/16,,7.0,,388.0
2021/8/17,,1.4,,575.0
2021/8/18,194.0,0.1,123.0,362.0
2021/8/19,,47.5,,351.0
2021/8/20,,18.0,,463.0
2021/8/23,,127.0,,86.0
2021/8/24,,157.0,,22.0
2021/8/25,183.0,309.0,139.0,0.1
2021/8/26,,198.0,,112.0
2021/8/27,,297.0,,46.0
2021/8/30,,425.0,,8.4
2021/8/31,,530.0,,1.7
2021/9/1,174.0,545.0,121.0,0.2
2021/9/2,,84.0,,195.0
2021/9/3,,165.0,,91.0
2021/9/6,,114.0,,62.0
2021/9/7,,52.0,,64.0
2021/9/8,167.0,0.1,159.0,258.0
2021/9/9,,146.0,,156.0
2021/9/10,,271.0,,43.5
2021/9/13,,220.0,,30.0
2021/9/14,,220.0,,9.5
2021/9/15,156.0,132.0,102.0,0.1
2021/9/16,,97.0,,117.0
2021/9/17,,94.0,,79.0
2021/9/22,194.0,0.1,174.0,383.0
2021/9/23,,270.0,,65.0
2021/9/24,,382.0,,21.5
2021/9/27,,415.0,,6.3
2021/9/28,,292.0,,5.4
2021/9/29,202.0,0.1,163.0,76.0
2021/9/30,,240.0,,96.0
2021/10/1,,46.0,,296.0
2021/10/4,,8.7,,418.0
2021/10/5,,1.9,,381.0
2021/10/6,198.0,0.1,172.0,438.0
2021/10/7,,409.0,,50.0
2021/10/8,,338.0,,53.0
2021/10/12,,130.0,,50.0
2021/10/13,216.0,20.0,194.0,0.1
2021/10/14,,222.0,,118.0
2021/10/15,,496.0,,15.5
2021/10/18,,430.0,,9.3
2021/10/19,,605.0,,1.4
2021/10/20,180.0,585.0,113.0,0.1
2021/10/21,,119.0,,131.0
2021/10/22,,120.0,,95.0
2021/10/25,,116.0,,50.0
2021/10/26,,215.0,,7.1
2021/10/27,151.0,207.0,114.0,0.1
2021/10/28,,117.0,,111.0
2021/10/29,,67.0,,151.0
2021/11/1,,102.0,,57.0
2021/11/2,,55.0,,46.5
2021/11/3,157.0,62.0,108.0,0.2
2021/11/4,,127.0,,98.0
2021/11/5,,253.0,,27.0
2021/11/8,,378.0,,3.5
2021/11/9,,500.0,,1.4
2021/11/10,125.0,500.0,120.0,0.3
2021/11/11,,75.0,,152.0
2021/11/12,,90.0,,96.0
2021/11/15,,145.0,,29.0
2021/11/16,,159.0,,7.3
2021/11/17,123.0,172.0,93.0,0.2
2021/11/18,,175.0,,56.0
2021/11/19,,160.0,,50.0
2021/11/22,,132.0,,39.0
2021/11/23,,14.5,,92.0
2021/11/24,137.0,0.1,95.0,100.0
2021/11/25,,122.0,,82.0
2021/11/26,,13.0,,308.0
2021/11/29,,5.6,,330.0
2021/11/30,,2.0,,300.0
2021/12/1,174.0,0.3,125.0,35.0
2021/12/2,,245.0,,78.0
2021/12/3,,232.0,,64.0
2021/12/6,,200.0,,40.0
2021/12/7,,274.0,,5.3
2021/12/8,137.0,331.0,134.0,0.3
2021/12/9,,145.0,,85.0
2021/12/10,,85.0,,117.0
2021/12/13,,30.5,,127.0
2021/12/14,,2.7,,253.0
2021/12/15,178.0,0.1,99.0,221.0
2021/12/16,,302.0,,23.5
2021/12/17,,286.0,,30.0
2021/12/20,,128.0,,70.0
2021/12/21,,270.0,,4.2
2021/12/22,140.0,266.0,84.0,0.1
2021/12/23,,212.0,,39.5
2021/12/24,,198.0,,24.0
2021/12/27,,290.0,,6.2
2021/12/28,,415.0,,1.3
2021/12/29,137.0,470.0,95.0,0.1
2021/12/30,,86.0,,103.0
2022/1/3,,82.0,,44.5
2022/1/4,,280.0,,2.8
2022/1/5,146.0,216.0,104.0,0.1
2022/1/6,,72.0,,173.0
2022/1/7,,20.0,,312.0
2022/1/10,,16.5,,198.0
2022/1/11,,7.0,,163.0
2022/1/12,153.0,0.3,127.0,133.0
2022/1/13,,171.0,,96.0
2022/1/14,,108.0,,96.0
2022/1/17,,185.0,,25.5
2022/1/18,,56.0,,58.0
2022/1/19,217.0,0.1,144.0,132.0
2022/1/20,,230.0,,78.0
2022/1/21,,55.0,,232.0
2022/1/24,,40.0,,154.0
2022/1/25,,2.7,,400.0
2022/1/26,264.0,0.2,219.0,387.0
2022/2/7,124.0,281.0,65.0,0.2
2022/2/8,,120.0,,20.5
2022/2/9,134.0,296.0,116.0,0.1
2022/2/10,,235.0,,47.0
2022/2/11,,196.0,,72.0
2022/2/14,,37.0,,213.0
2022/2/15,,9.5,,206.0
2022/2/16,172.0,55.0,125.0,0.1
2022/2/17,,178.0,,109.0
2022/2/18,,154.0,,103.0
2022/2/21,,119.0,,78.0
2022/2/22,,4.0,,290.0
2022/2/23,189.0,0.1,117.0,124.0
2022/2/24,,24.0,,478.0
2022/2/25,,13.5,,372.0
2022/3/1,,31.0,,102.0
2022/3/2,215.0,0.2,148.0,104.0
2022/3/3,,252.0,,101.0
2022/3/4,,104.0,,208.0
2022/3/7,,3.6,,700.0
2022/3/8,,0.8,,1040.0
2022/3/9,253.0,0.1,201.0,750.0
2022/3/10,,600.0,,54.0
2022/3/11,,399.0,,77.0
2022/3/14,,366.0,,32.0
2022/3/15,,86.0,,102.0
2022/3/16,264.0,37.0,196.0,0.1
2022/3/17,,605.0,,28.5
2022/3/18,,545.0,,25.0
2022/3/21,,625.0,,5.7
2022/3/22,,655.0,,1.0
2022/3/23,147.0,805.0,123.0,0.1
2022/3/24,,117.0,,125.0
2022/3/25,,80.0,,133.0
2022/3/28,,7.5,,251.0
2022/3/29,,6.3,,141.0
2022/3/30,153.0,58.0,97.0,0.1
2022/3/31,,95.0,,132.0
2022/4/1,,39.5,,162.0
2022/4/6,154.0,0.1,133.0,188.0
2022/4/7,,26.0,,370.0
2022/4/8,,39.0,,224.0
2022/4/11,,3.1,,442.0
2022/4/12,,0.7,,490.0
2022/4/13,158.0,0.1,142.0,189.0
2022/4/14,,139.0,,140.0
2022/4/15,,18.0,,338.0
2022/4/18,,4.7,,420.0
2022/4/19,,1.2,,300.0
2022/4/20,175.0,0.1,131.0,175.0
2022/4/21,,184.0,,91.0
2022/4/22,,92.0,,127.0
2022/4/25,,4.2,,453.0
2022/4/26,,1.2,,435.0
2022/4/27,220.0,0.1,158.0,750.0
2022/4/28,,264.0,,111.0
2022/4/29,,386.0,,39.0
2022/5/3,,267.0,,16.0
2022/5/4,196.0,291.0,161.0,0.1
2022/5/5,,261.0,,56.0
2022/5/6,,74.0,,201.0
2022/5/9,,4.3,,456.0
2022/5/10,,1.4,,435.0
2022/5/11,193.0,0.2,184.0,473.0
2022/5/12,,46.5,,418.0
2022/5/13,,71.0,,222.0
2022/5/16,,64.0,,141.0
2022/5/17,,106.0,,29.0
2022/5/18,205.0,301.0,123.0,0.1
2022/5/19,,75.0,,272.0
2022/5/20,,141.0,,121.0
2022/5/23,,130.0,,100.0
2022/5/24,,10.0,,193.0
2022/5/25,184.0,5.0,140.0,0.2
2022/5/26,,116.0,,184.0
2022/5/27,,250.0,,44.5
2022/5/30,,540.0,,3.2
2022/5/31,,660.0,,1.1
2022/6/1,164.0,665.0,134.0,0.1
2022/6/2,,114.0,,158.0
2022/6/6,,103.0,,74.0
2022/6/7,,17.0,,129.0
2022/6/8,171.0,59.0,127.0,0.1
2022/6/9,,123.0,,138.0
2022/6/10,,68.0,,195.0
2022/6/13,,2.8,,550.0
2022/6/14,,1.3,,550.0
2022/6/15,495.0,0.2,75.0,540.0
2022/6/16,,367.0,,86.0
2022/6/17,,207.0,,123.0
2022/6/20,,65.0,,156.0
2022/6/21,,227.0,,11.0
2022/6/22,348.0,0.1,108.0,112.0
2022/6/23,,288.0,,120.0
2022/6/24,,340.0,,60.0
2022/6/27,,510.0,,6.5
2022/6/28,,425.0,,2.4
2022/6/29,244.0,261.0,128.0,0.1
2022/6/30,,74.0,,350.0
2022/7/1,,8.8,,735.0
2022/7/4,,2.4,,750.0
2022/7/5,,1.0,,665.0
2022/7/6,310.0,0.4,180.0,1050.0
2022/7/7,,490.0,,57.0
2022/7/8,,600.0,,21.5
2022/7/11,,525.0,,9.9
2022/7/12,,204.0,,38.0
2022/7/13,217.0,580.0,191.0,0.2
2022/7/14,,247.0,,114.0
2022/7/15,,275.0,,51.0
2022/7/18,,400.0,,8.0
2022/7/19,,432.0,,1.5
2022/7/20,236.0,462.0,114.0,0.1
2022/7/21,,304.0,,47.0
2022/7/22,,296.0,,34.0
2022/7/25,,319.0,,13.5
