日期,價平買權次週每日結算價,價平買權近週每日結算價,價平賣權次週每日結算價,價平賣權近週每日結算價
2023/2/8,141.0,266.0,136.0,0.3
2023/2/9,,121.0,,123.0
2023/2/10,,107.0,,131.0
2023/2/13,,74.0,,141.0
2023/2/14,,122.0,,65.0
2023/2/15,109.0,0.1,176.0,202.0
2023/2/16,,174.0,68.0,68.0
2023/2/17,,95.0,99.0,99.0
2023/2/20,,122.0,33.0,33.0
2023/2/21,,114.0,18.5,18.5
2023/2/22,141.0,0.2,103.0,16.5
2023/2/23,,291.0,,25.5
2023/2/24,,229.0,,23.5
2023/3/1,268.0,244.0,56.0,0.1
2023/3/2,,254.0,,44.5
2023/3/3,,302.0,,23.0
2023/3/6,,440.0,,3.6
2023/3/7,,525.0,,1.2
2023/3/8,147.0,460.0,113.0,0.2
2023/3/9,,124.0,,108.0
2023/3/10,,23.5,,295.0
2023/3/13,,17.0,,249.0
2023/3/14,,2.2,,401.0
2023/3/15,116.0,0.2,171.0,346.0
2023/3/16,,155.0,,106.0
2023/3/17,,49.0,,179.0
2023/3/20,,41.0,,142.0
2023/3/21,,8.1,,197.0
2023/3/22,164.0,0.1,126.0,444.0
2023/3/23,,219.0,,63.0
2023/3/24,,267.0,,29.0
2023/3/27,,181.0,,25.0
2023/3/28,,56.0,,46.0
2023/3/29,156.0,49.0,101.0,0.1
2023/3/30,,199.0,,60.0
2023/3/31,,219.0,,38.5
2023/4/6,121.0,95.0,96.0,0.2
2023/4/7,,137.0,,52.0
2023/4/10,,144.0,,23.5
2023/4/11,,189.0,,5.7
2023/4/12,131.0,182.0,104.0,0.2
2023/4/13,,59.0,,143.0
2023/4/14,,105.0,,56.0
2023/4/17,,101.0,,30.5
2023/4/18,,38.5,,48.0
2023/4/19,137.0,0.3,97.0,125.0
2023/4/20,,99.0,,110.0
2023/4/21,,28.0,,156.0
2023/4/24,,12.0,,147.0
2023/4/25,,1.0,,371.0
2023/4/26,125.0,0.2,100.0,370.0
2023/4/27,,136.0,,61.0
2023/4/28,,235.0,,15.0
2023/5/2,,333.0,,1.6
2023/5/3,117.0,268.0,121.0,0.2
2023/5/4,,134.0,,74.0
2023/5/5,,134.0,,44.0
2023/5/8,,177.0,,11.5
2023/5/9,,180.0,,2.9
2023/5/10,108.0,61.0,98.0,0.1
2023/5/11,,49.0,,130.0
2023/5/12,,29.0,,123.0
2023/5/15,,17.5,,108.0
2023/5/16,,103.0,,11.0
2023/5/17,166.0,353.0,73.0,0.1
2023/5/18,,316.0,,23.5
2023/5/19,,361.0,,13.0
2023/5/22,,340.0,,4.5
2023/5/23,,348.0,,1.9
2023/5/24,153.0,299.0,65.0,0.3
2023/5/25,,255.0,,28.0
2023/5/26,,466.0,,6.0
2023/5/29,,610.0,,1.6
2023/5/30,,595.0,,0.9
2023/5/31,189.0,540.0,92.0,0.1
2023/6/1,,162.0,,79.0
2023/6/2,,330.0,,13.5
2023/6/5,,278.0,,6.6
2023/6/6,,320.0,,2.3
2023/6/7,152.0,456.0,88.0,0.1
2023/6/8,,58.0,,161.0
2023/6/9,,120.0,,65.0
2023/6/12,,143.0,,26.0
2023/6/13,,390.0,,1.8
2023/6/14,130.0,393.0,131.0,0.3
2023/6/15,,199.0,,59.0
2023/6/16,,134.0,,64.0
2023/6/19,,97.0,,42.0
2023/6/20,,35.5,,46.5
2023/6/21,223.0,30.0,50.0,0.1
2023/6/26,,96.0,,43.0
2023/6/27,,17.0,,86.0
2023/6/28,144.0,0.1,93.0,69.0
2023/6/29,,133.0,,84.0
2023/6/30,,137.0,,50.0
2023/7/3,,340.0,,4.9
2023/7/4,,400.0,,0.9
2023/7/5,126.0,276.0,96.0,0.3
2023/7/6,,18.0,,304.0
2023/7/7,,8.7,,349.0
2023/7/10,,1.9,,421.0
2023/7/11,,14.0,,117.0
2023/7/12,146.0,0.1,121.0,86.0
2023/7/13,,238.0,,52.0
2023/7/14,,406.0,,12.0
2023/7/17,,391.0,,4.2
2023/7/18,,325.0,,2.8
2023/7/19,183.0,203.0,113.0,0.2
2023/7/20,,196.0,,79.0
2023/7/21,,75.0,,133.0
2023/7/24,,66.0,,92.0
2023/7/25,,185.0,,9.0
2023/7/26,149.0,104.0,118.0,0.1
2023/7/27,,210.0,,55.0
2023/7/28,,221.0,,31.5
2023/7/31,,94.0,,68.0
2023/8/1,,116.0,,21.5
2023/8/2,160.0,0.1,144.0,246.0
2023/8/4,,132.0,,100.0
2023/8/7,,228.0,,25.5
2023/8/8,,105.0,,37.5
2023/8/9,150.0,71.0,147.0,0.3
2023/8/10,,60.0,,253.0
2023/8/11,,25.5,,252.0
2023/8/14,,2.0,,475.0
2023/8/15,,0.7,,430.0
2023/8/16,174.0,0.1,115.0,486.0
2023/8/17,,204.0,,66.0
2023/8/18,,133.0,,97.0
2023/8/21,,97.0,,73.0
2023/8/22,,109.0,,26.5
2023/8/23,278.0,206.0,67.0,0.1
2023/8/24,,433.0,,12.5
2023/8/25,,167.0,,67.0
2023/8/28,,182.0,,23.5
2023/8/29,,291.0,,1.3
2023/8/30,133.0,381.0,98.0,0.1
2023/8/31,,82.0,,131.0
