,日期,Close,價平買權次週每日結算價,價平買權近週每日結算價,價平賣權次週每日結算價,價平賣權近週每日結算價,Implied volatility of Call,Implied volatility of Put,Signal of Long Call,Signal of Long Put,Signal of Long Call_E,Signal of Long Put_E,策略累積資金(金額),進場口數,策略近週報酬(點數)
45,2020-03-17,9439.63,,0.1,,1430.0,,,0,0,1,1,972440.0,4.0,-1.4
46,2020-03-18,9218.67,417.0,0.3,285.0,1490.0,0.8165921619145474,0.5581025567041871,1,1,1,1,972480.0,4.0,0.2
47,2020-03-19,8681.34,,146.0,,565.0,,,0,0,1,1,917680.0,4.0,-274.0
48,2020-03-20,9234.09,,370.0,,160.0,,,0,0,1,1,962480.0,4.0,224.0
49,2020-03-23,8890.03,,141.0,,260.0,,,0,0,1,1,916680.0,4.0,-229.0
50,2020-03-24,9285.62,,427.0,,9.5,,,0,0,1,1,973880.0,4.0,286.0
51,2020-03-25,9644.75,308.0,715.0,194.0,0.2,0.5764971472235204,0.36311833299143825,1,1,1,1,1031480.0,4.0,288.0
52,2020-03-26,9736.36,,324.0,,154.0,,,0,0,1,1,1034080.0,4.0,13.0
53,2020-03-27,9698.92,,251.0,,154.0,,,0,0,1,1,1019480.0,4.0,-73.0
54,2020-03-30,9629.43,,203.0,,91.0,,,0,0,1,1,1009880.0,4.0,-48.0
55,2020-03-31,9708.06,,160.0,,34.5,,,0,0,1,1,1001280.0,4.0,-43.0
56,2020-04-01,9663.63,265.0,134.0,185.0,0.1,0.49504308841745953,0.34559611832916987,1,1,1,1,996080.0,4.0,-26.0
57,2020-04-06,9818.74,,326.0,,16.0,,,0,0,1,1,1007680.0,4.0,58.0
58,2020-04-07,9996.39,,465.0,,1.4,,,0,0,1,1,1035480.0,4.0,139.0
59,2020-04-08,10137.47,180.0,565.0,152.0,0.1,0.3205386060819092,0.2706770451358344,1,1,1,1,1055480.0,4.0,100.0
60,2020-04-09,10119.43,,142.0,,142.0,,,0,0,1,1,1047280.0,4.0,-41.0
61,2020-04-10,10157.61,,133.0,,99.0,,,0,0,1,1,1045480.0,4.0,-9.0
62,2020-04-13,10099.22,,82.0,,106.0,,,0,0,1,1,1035280.0,4.0,-51.0
63,2020-04-14,10332.94,,250.0,,4.4,,,0,0,1,1,1068880.0,4.0,168.0
64,2020-04-15,10447.21,198.0,351.0,110.0,0.1,0.34213876750796524,0.1900770930599807,1,1,1,1,1089080.0,4.0,101.0
65,2020-04-16,10375.48,,169.0,,101.0,,,0,0,1,1,1082680.0,4.0,-32.0
66,2020-04-17,10597.04,,330.0,,26.5,,,0,0,1,1,1114880.0,4.0,161.0
67,2020-04-20,10586.71,,256.0,,22.0,,,0,0,1,1,1100080.0,4.0,-74.0
68,2020-04-21,10288.42,,63.0,,84.0,,,0,0,1,1,1061480.0,4.0,-193.0
69,2020-04-22,10307.74,218.0,0.2,118.0,15.0,0.3817951955700729,0.2066597847581129,1,1,1,1,1048920.0,4.0,-62.8
70,2020-04-23,10366.51,,238.0,,64.0,,,0,0,1,1,1052320.0,4.0,17.0
71,2020-04-24,10347.36,,210.0,,59.0,,,0,0,1,1,1046720.0,4.0,-28.0
72,2020-04-27,10567.27,,401.0,,5.2,,,0,0,1,1,1084920.0,4.0,191.0
73,2020-04-28,10616.06,,426.0,,0.8,,,0,0,1,1,1089920.0,4.0,25.0
74,2020-04-29,10772.22,150.0,555.0,103.0,0.1,0.2513757998968003,0.17261138259580286,1,1,1,1,1115720.0,4.0,129.0
75,2020-04-30,10992.14,,310.0,,27.0,,,0,0,1,1,1147120.0,4.0,157.0
76,2020-05-04,10720.48,,84.0,,115.0,,,0,0,1,1,1101920.0,4.0,-226.0
