日期,賣權成交量,買權成交量,買賣權成交量比率%,賣權未平倉量,買權未平倉量,買賣權未平倉量比率%
2023/07/31,540106,563899,95.78,216662,229578,94.37
2023/08/01,392457,374162,104.89,246839,242409,101.83
2023/08/02,711917,745862,95.45,130019,161672,80.42
2023/08/04,340592,347793,97.93,178614,211290,84.53
2023/08/07,473168,406950,116.27,232360,222736,104.32
2023/08/08,478968,480603,99.66,251263,265775,94.54
2023/08/09,697842,694127,100.54,143666,174880,82.15
2023/08/10,363886,410131,88.72,185983,248670,74.79
2023/08/11,382062,403021,94.8,213757,268355,79.65
2023/08/14,441236,581651,75.86,220698,325724,67.76
2023/08/15,427970,429508,99.64,243921,335781,72.64
2023/08/16,639781,633863,100.93,91296,123251,74.07
2023/08/17,346612,359680,96.37,155979,170839,91.3
2023/08/18,395031,391480,100.91,191454,205522,93.15
2023/08/21,393278,385903,101.91,212541,231543,91.79
2023/08/22,387077,359543,107.66,232965,241914,96.3
2023/08/23,636466,540768,117.7,137693,132639,103.81
2023/08/24,359634,308918,116.42,197773,171281,115.47
2023/08/25,371221,405294,91.59,216038,244531,88.35
2023/08/28,343160,351263,97.69,241548,260914,92.58
2023/08/29,377637,326807,115.55,259017,267514,96.82
2023/08/30,574664,499183,115.12,151873,152000,99.92
2023/08/31,234382,221295,105.91,183984,193427,95.12
