,日期,Close,價平買權次週每日結算價,價平買權近週每日結算價,價平賣權次週每日結算價,價平賣權近週每日結算價,Implied volatility of Call,Implied volatility of Put,Signal of Long Call,Signal of Long Put,Signal of Long Call_E,Signal of Long Put_E,策略累積資金(金額),進場口數,策略近週報酬(點數),Call進場口數,Put進場口數,Call策略近週報酬(點數),Put策略近週報酬(點數),策略每日報酬率,策略累積報酬率,每個時點最大策略累積資金(金額),Drawdown
29,2020-02-24,8212,,5.1,,232.0,,,0,0,0,1,1008650.0,4.0,116.0,4.0,4.0,-0.0,-232.0,-0.04397895834320653,0.00864999999999938,1101410.0,-0.08421931887308087
30,2020-02-25,8092,,1.7,,202.0,,,0,0,0,1,1020650.0,4.0,-30.0,4.0,4.0,-0.0,60.0,0.011897090170029267,0.02064999999999939,1101410.0,-0.07332419353374311
31,2020-02-26,7947,144.0,0.1,111.0,317.0,0.32711216841546964,0.2521489631535912,1,1,1,1,974650.0,4.0,115.0,4.0,4.0,-0.0,-230.0,-0.04506931857149854,-0.02535000000000054,1101410.0,-0.11508884066787119
32,2020-03-02,7992,,17.5,,222.0,,,0,0,1,1,986750.0,4.0,108.0,4.0,4.0,-129.5,190.0,0.012414712973888076,-0.013250000000000539,1101410.0,-0.10410292261737228
33,2020-03-03,8029,,24.5,,89.0,,,0,0,1,1,1041350.0,4.0,-133.0,4.0,4.0,7.0,266.0,0.05533316442868008,0.041349999999999554,1101410.0,-0.05453010232338548
34,2020-03-04,8162,138.0,0.1,110.0,21.0,0.3052248695946049,0.243295185908743,1,1,1,1,1063670.0,4.0,-68.0,4.0,4.0,-24.4,136.0,0.021433715849618284,0.06366999999999945,1101410.0,-0.03426516919221725
35,2020-03-05,7940,,202.0,,44.5,,,0,0,1,1,1066470.0,4.0,-68.5,4.0,4.0,61.0,-47.0,0.0026323953857869675,0.06646999999999936,1101410.0,-0.03172297327970511
36,2020-03-06,7622,,84.0,,146.0,,,0,0,1,1,1002270.0,4.0,101.5,4.0,4.0,-118.0,-203.0,-0.060198599116712104,0.00226999999999955,1101410.0,-0.09001189384516212
37,2020-03-09,7652,,7.5,,385.0,,,0,0,1,1,891370.0,4.0,239.0,4.0,4.0,-76.5,-478.0,-0.11064882716234148,-0.10863000000000045,1101410.0,-0.19070101052287522
38,2020-03-10,7495,,1.3,,340.0,,,0,0,1,1,908130.0,4.0,-45.0,4.0,4.0,-6.2,90.0,0.018802517473103242,-0.09187000000000045,1101410.0,-0.1754841521322668
39,2020-03-11,7033,200.0,0.2,178.0,443.0,0.5133656418151211,0.45689542121545773,1,1,1,1,866710.0,4.0,103.0,3.0,4.0,-1.1,-206.0,-0.045610209991961526,-0.13329000000000046,1101410.0,-0.21309049309521433
40,2020-03-12,6698,,32.5,,468.0,,,0,0,1,1,831135.0,4.0,287.0,3.0,4.0,-170.5,-50.0,-0.04104602462184581,-0.16886500000000038,1101410.0,-0.2453900000907927
41,2020-03-13,6350,,19.5,,785.0,,,0,0,1,1,702385.0,4.0,317.0,3.0,4.0,-13.0,-634.0,-0.15490864901610446,-0.2976150000000003,1101410.0,-0.3622856157107707
42,2020-03-16,6042,,1.5,,1120.0,,,0,0,1,1,565685.0,4.0,335.0,3.0,4.0,-18.0,-670.0,-0.19462260725955138,-0.43431500000000023,1101410.0,-0.48639925186806005
43,2020-03-17,5756,,0.1,,1430.0,,,0,0,1,1,441475.0,4.0,310.0,3.0,4.0,-1.4,-620.0,-0.21957449817477925,-0.5585250000000002,1101410.0,-0.5991728784013219
44,2020-03-18,5193,417.0,0.3,285.0,1490.0,1.4496232746537225,0.9907497200870765,1,1,1,1,417505.0,6.0,60.0,2.0,4.0,0.2,-120.0,-0.05429526020725972,-0.5824950000000002,1101410.0,-0.6209358912666492
45,2020-03-19,5878,,146.0,,565.0,,,0,0,1,1,760105.0,6.0,277.0,2.0,4.0,-274.0,1850.0,0.8205889749823356,-0.2398950000000002,1101410.0,-0.3098800628285561
46,2020-03-20,5502,,370.0,,160.0,,,0,0,1,1,944505.0,6.0,-405.0,2.0,4.0,224.0,810.0,0.24259806210984003,-0.055495000000000294,1101410.0,-0.14245830344739924
47,2020-03-23,6030,,141.0,,260.0,,,0,0,1,1,881605.0,6.0,100.0,2.0,4.0,-229.0,-200.0,-0.06659573003848573,-0.11839500000000025,1101410.0,-0.19956691876776134
48,2020-03-24,6422,,427.0,,9.5,,,0,0,1,1,1010405.0,6.0,-250.5,2.0,4.0,286.0,501.0,0.1460971750387079,0.010404999999999776,1101410.0,-0.08262590679220272
49,2020-03-25,6468,308.0,715.0,194.0,0.2,0.859642990210892,0.5414634418860813,1,1,1,1,1042925.0,5.0,-9.3,4.0,4.0,288.0,18.6,0.032185113889974915,0.04292499999999988,1101410.0,-0.0531001171225974
50,2020-03-26,6416,,324.0,,154.0,,,0,0,1,1,984005.0,5.0,-43.0,4.0,4.0,13.0,-307.6,-0.05649495409545269,-0.015995000000000092,1101410.0,-0.1065951825387458
51,2020-03-27,6403,,251.0,,154.0,,,0,0,1,1,969405.0,5.0,0.0,4.0,4.0,-73.0,0.0,-0.014837322981082424,-0.03059500000000015,1101410.0,-0.1198509183682734
52,2020-03-30,6432,,203.0,,91.0,,,0,0,1,1,985005.0,5.0,-63.0,4.0,4.0,-48.0,126.0,0.016092345304594025,-0.014995000000000203,1101410.0,-0.10568725542713431
53,2020-03-31,6392,,160.0,,34.5,,,0,0,1,1,999005.0,5.0,-56.5,4.0,4.0,-43.0,113.0,0.014213125821696426,-0.0009950000000000792,1101410.0,-0.09297627586457359
54,2020-04-06,6835,,326.0,,16.0,,,0,0,1,1,1039605.0,5.0,-18.5,4.0,4.0,166.0,37.0,0.04064043723504884,0.03960499999999989,1101410.0,-0.05611443513314751
55,2020-04-07,6959,,465.0,,1.4,,,0,0,1,1,1073245.0,5.0,-14.6,4.0,4.0,139.0,29.2,0.032358443832032346,0.07324499999999978,1101410.0,-0.02557176709853733
56,2020-04-08,6937,180.0,565.0,152.0,0.1,0.46842302191108137,0.39555721850269093,1,1,1,1,1093765.0,5.0,-1.3,4.0,4.0,100.0,2.6,0.019119585928655702,0.09376499999999988,1101410.0,-0.006941102768269763
57,2020-04-09,6970,,142.0,,142.0,,,0,0,1,1,1028805.0,5.0,-13.0,4.0,4.0,-41.0,-283.8,-0.05939118549231326,0.02880499999999997,1101410.0,-0.0659200479385515
58,2020-04-10,6916,,133.0,,99.0,,,0,0,1,1,1044205.0,5.0,-43.0,4.0,4.0,-9.0,86.0,0.014968823051987545,0.04420500000000005,1101410.0,-0.051937970419734705
59,2020-04-13,7180,,82.0,,106.0,,,0,0,1,1,1031205.0,5.0,7.0,4.0,4.0,-51.0,-14.0,-0.012449662662025185,0.03120500000000015,1101410.0,-0.06374102287068394
60,2020-04-14,7242,,250.0,,4.4,,,0,0,1,1,1105445.0,5.0,-101.6,4.0,4.0,168.0,203.2,0.07199344456242929,0.10544500000000001,1105445.0,0.0
61,2020-04-15,7218,198.0,351.0,110.0,0.1,0.49520581231600014,0.27511434017555564,1,1,1,1,1127365.0,5.0,-4.3,5.0,4.0,101.0,8.6,0.01982911859025105,0.12736500000000017,1127365.0,0.0
62,2020-04-16,7480,,169.0,,101.0,,,0,0,1,1,1079005.0,5.0,-12.0,5.0,4.0,-32.0,-201.8,-0.04289648871483509,0.07900500000000021,1127365.0,-0.042896488714835035
63,2020-04-17,7392,,330.0,,26.5,,,0,0,1,1,1149055.0,5.0,-74.5,5.0,4.0,161.0,149.0,0.06492092251657788,0.14905500000000038,1149055.0,0.0
64,2020-04-20,7113,,256.0,,22.0,,,0,0,1,1,1132355.0,5.0,-4.5,5.0,4.0,-74.0,9.0,-0.014533682025664518,0.13235500000000044,1149055.0,-0.014533682025664569
65,2020-04-21,7139,,63.0,,84.0,,,0,0,1,1,1059305.0,5.0,62.0,5.0,4.0,-193.0,-124.0,-0.06451157101792282,0.059305000000000385,1149055.0,-0.07810766238343682
66,2020-04-22,7209,218.0,0.2,118.0,15.0,0.5459072838376285,0.29549109859100986,1,1,1,1,1071205.0,5.0,-69.0,4.0,4.0,-62.8,138.0,0.01123378063919267,0.0712050000000004,1149055.0,-0.06775132608969979
67,2020-04-23,7185,,238.0,,64.0,,,0,0,1,1,1055005.0,5.0,-57.0,4.0,4.0,17.0,-98.0,-0.015123155698489099,0.055005000000000415,1149055.0,-0.08184986793495524
68,2020-04-24,7462,,210.0,,59.0,,,0,0,1,1,1051405.0,5.0,-5.0,4.0,4.0,-28.0,10.0,-0.003412306102814733,0.05140500000000037,1149055.0,-0.0849828772339009
69,2020-04-27,7500,,401.0,,5.2,,,0,0,1,1,1111125.0,5.0,-53.8,4.0,4.0,191.0,107.6,0.05680018641722273,0.11112500000000036,1149055.0,-0.033009734085835754
70,2020-04-28,7626,,426.0,,0.8,,,0,0,1,1,1117885.0,5.0,-4.4,4.0,4.0,25.0,8.8,0.006083923950950698,0.11788500000000046,1149055.0,-0.027126638846704465
71,2020-04-29,7864,150.0,555.0,103.0,0.1,0.3443381763942408,0.23644554779071203,1,1,1,1,1143965.0,5.0,-0.7,5.0,4.0,129.0,1.4,0.023329770056848442,0.14396500000000056,1149055.0,-0.00442972703656483
72,2020-05-04,7636,,84.0,,115.0,,,0,0,1,1,1080755.0,5.0,9.0,5.0,4.0,-69.0,-229.8,-0.05525518700309884,0.08075500000000058,1149055.0,-0.05944014864388563
73,2020-05-05,7666,,104.0,,25.0,,,0,0,1,1,1121755.0,5.0,-90.0,5.0,4.0,20.0,180.0,0.037936442579493024,0.1217550000000005,1149055.0,-0.023758653850337888
74,2020-05-06,7750,160.0,57.0,111.0,0.1,0.37269683188498026,0.25855842712020505,1,1,1,1,1119965.0,5.0,-24.9,4.0,4.0,-47.0,49.8,-0.0015957138590868558,0.11996500000000054,1149055.0,-0.02531645569620253
75,2020-05-07,7811,,188.0,,63.0,,,0,0,1,1,1099805.0,5.0,-51.0,4.0,4.0,25.0,-125.8,-0.018000562517578644,0.09980500000000059,1149055.0,-0.0428613077702982
76,2020-05-08,7899,,213.0,,38.0,,,0,0,1,1,1114805.0,5.0,-25.0,4.0,4.0,25.0,50.0,0.013638781420342694,0.11480500000000049,1149055.0,-0.029807102358024636
