,datadate,ticker,after-tax interest coverage,interest coverage ratio,cash flow/ total debt,operating margin before dep.,operating margin after dep.,return on equity,return on capital employed,LTD/ total assets,total debt/ total assets,book/ market,interest/ average LTD,interest/ average total debt,cash balance/ total liabilities,total debt/ EBITDA,short-term debt/ total debt,LTD/ total liabilities,free cash flow/ operating cash flow,total liabilities/ total tangible assets,LTD/ book equity,total debt/ capital,total debt/ equity,asset turnover,receivables turnover,payables turnover,sales/invested capital,sales/stockholders equity,accruals/average assets,price/ book,shillers cyclically adjusted P/E ratio,enterprise value multiple,"price/ operating earnings (Basic, Excl. EI)","price/ operating earnings (Diluted, Excl. EI)","P/E (Diluted, Excl. EI)","P/E (Diluted, Incl. EI)",price/ sales,price/ cash flow,dividend payout ratio,net profit magin,gross profit margin,pre-tax profit margin,return on assets,after-tax return on average common equity,after-tax return on invested capital,after-tax return on average stockholders' equity,gross profit/ total assets,common equity/invested capital,LTD/ invested capital,total debt/ invested capital,capitalization ratio,cash flow margin,splticrm,rating,prev_rating,rating_diff,after-tax interest coverage_change,interest coverage ratio_change,cash flow/ total debt_change,operating margin before dep._change,return on equity_change,total debt/ total assets_change,book/ market_change,interest/ average LTD_change,interest/ average total debt_change,cash balance/ total liabilities_change,free cash flow/ operating cash flow_change,total liabilities/ total tangible assets_change,total debt/ capital_change,total debt/ equity_change,asset turnover_change,receivables turnover_change,payables turnover_change,sales/invested capital_change,sales/stockholders equity_change,price/ book_change,shillers cyclically adjusted P/E ratio_change,enterprise value multiple_change,"price/ operating earnings (Basic, Excl. EI)_change","price/ operating earnings (Diluted, Excl. EI)_change","P/E (Diluted, Excl. EI)_change","P/E (Diluted, Incl. EI)_change",price/ sales_change,price/ cash flow_change,gross profit margin_change,after-tax return on average common equity_change,after-tax return on average stockholders' equity_change,gross profit/ total assets_change,common equity/invested capital_change,cash flow margin_change,rating_change,prev_rating_change,rating_diff_change
55,2015-12-31,CNX,-0.616,-3.133,0.146,-0.014,-0.231,-0.061,-0.074,0.309,0.558,2.14,0.072,0.057,0.011,-91.94,0.204,0.441,-1.473,0.638,0.542,0.444,1.274,0.241,5.337,6.012,0.351,0.55,-0.071,0.377,7.117,-231.02,-4.647,-4.62,-5.524,-5.448,0.656,3.686,0.341,-0.119,-0.014,-0.206,-0.003,-0.064,-0.014,-0.064,-0.003,0.637,0.358,0.45,0.36,0.106,BB-,8,9.0,-1.0,-1.046,-1.176,-0.12,-1.052,-1.184,-0.244,9.808,-0.258,0.295,-0.083,-55.556,-0.315,0.099,-0.601,-0.599,-0.607,-0.399,-0.811,-0.784,-0.928,-0.66,-29.074,-1.339,-1.332,-1.382,-1.377,-0.683,-0.629,-1.047,-1.193,-1.193,-1.017,-0.127,-0.523,-0.111,-0.1,0.0
186,2016-11-30,WYNN,1.57,1.415,0.055,0.213,0.13,1.202,0.059,0.879,0.999,0.023,0.04,0.04,0.195,10.707,0.0,0.879,-0.7,1.369,47.528,1.011,-106.69,0.385,22.613,11.994,0.438,30.628,-0.066,43.759,19.69,20.888,48.108,48.108,48.108,48.108,2.523,11.426,1.464,0.052,0.385,0.065,0.084,-1.946,0.071,-1.946,0.148,-0.011,0.999,0.999,1.011,0.161,BB-,8,9.0,-1.0,-0.304,-0.518,-0.556,-0.234,-0.75,0.017,1.091,-0.184,-0.184,-0.354,0.072,-0.13,0.007,-0.593,-0.3,0.076,-0.06,-0.334,-0.29,-0.013,-0.015,0.191,1.503,1.475,1.102,1.102,0.207,-0.047,-0.013,-1.016,-1.016,-0.312,1.75,-0.166,-0.111,-0.1,0.0
165,2013-02-28,SYY,9.866,15.117,0.189,0.053,0.042,0.217,0.238,0.246,0.604,0.27,0.045,0.04,0.065,1.305,0.105,0.364,0.511,1.889,0.54,0.522,1.526,3.553,13.986,15.482,5.77,8.975,-0.015,3.772,16.786,9.107,17.29,17.384,17.574,17.574,0.434,15.047,0.587,0.025,0.192,0.039,0.192,0.225,0.158,0.225,0.681,0.643,0.357,0.399,0.357,0.036,A,22,25.0,-3.0,-0.05,-0.065,0.38,-0.159,-0.178,-0.029,0.059,-0.1,-0.184,-0.301,0.243,-0.073,-0.017,-0.073,-0.023,-0.023,0.004,-0.024,-0.067,-0.057,0.02,0.121,0.157,0.163,0.176,0.176,-0.036,-0.059,-0.045,-0.245,-0.245,-0.066,0.047,-0.122,-0.12,-0.107,0.0
107,2017-01-31,KSS,2.92,4.135,0.182,0.118,0.068,0.107,0.127,0.343,0.612,0.702,0.069,0.067,0.073,2.092,0.027,0.546,0.689,1.009,0.821,0.539,1.574,1.389,725.692,7.615,1.923,3.575,-0.126,1.3,8.082,5.752,11.68,11.68,12.218,12.218,0.373,2.995,0.593,0.032,0.359,0.05,0.162,0.112,0.089,0.112,0.499,0.538,0.462,0.475,0.462,0.082,BBB-,12,14.0,-2.0,-0.176,-0.173,-0.188,-0.145,-0.219,0.032,0.242,-0.042,-0.043,-0.17,0.141,0.031,0.031,0.082,0.065,-0.487,0.028,0.082,0.117,-0.343,-0.318,-0.075,-0.191,-0.197,-0.16,-0.16,-0.423,-0.545,-0.016,-0.233,-0.233,0.048,-0.031,-0.118,-0.143,-0.125,0.0
160,2013-03-31,SVU,-0.688,0.898,0.088,0.035,0.013,-1.854,0.042,0.53,0.999,0.014,0.05,0.048,0.013,8.321,0.046,0.507,0.232,1.927,196.81,0.998,732.831,1.801,29.513,7.453,3.548,1321.29,-0.116,29.843,-1.148,9.429,-374.5,-374.5,-14.579,-15.611,0.064,1.202,1.909,-0.024,0.17,-0.027,0.063,-2.555,-0.033,-2.555,0.307,0.003,0.997,1.045,0.997,0.019,B+,7,6.0,1.0,-0.583,-0.442,0.0,-0.239,0.506,0.047,-0.788,-0.296,-0.284,-0.133,-0.221,0.008,0.063,34.559,-0.251,-0.278,-0.22,-0.223,24.432,2.619,0.729,0.7,-18.761,-18.761,3.502,3.578,0.455,1.366,-0.183,1.076,1.076,-0.385,-0.966,-4.167,0.167,-0.143,-2.0
12,2016-06-30,AKS,-0.258,0.75,0.043,0.053,0.02,-5.751,0.083,0.571,1.129,0.178,0.072,0.072,0.018,6.932,0.0,0.506,0.707,2.245,31.747,1.428,-5.068,1.551,12.595,7.937,3.509,45.63,-0.131,30.517,-3.026,8.572,-5.614,-5.614,-3.82,-3.82,0.172,3.267,0.504,-0.033,0.093,-0.015,0.08,0.245,0.011,0.245,0.144,-0.504,1.293,1.293,1.639,0.013,B,6,5.0,1.0,-0.782,-0.42,-1.662,-0.131,0.132,0.096,-0.216,0.059,0.059,0.2,-4.702,0.022,0.18,-0.406,0.028,0.117,-0.084,0.156,0.141,0.229,0.914,0.07,-0.534,-0.534,1.723,1.723,1.356,-0.414,-0.051,-0.705,-0.705,-0.027,1.074,-2.444,0.2,-0.167,-2.0
102,2015-07-31,JNS,6.435,9.645,0.182,0.33,0.303,0.085,0.149,0.172,0.419,0.637,0.073,0.067,0.665,1.43,0.09,0.373,0.945,37.749,0.211,0.236,0.739,0.364,7.78,77.912,0.493,0.641,-0.01,1.491,23.002,10.116,18.2,18.614,18.614,18.614,3.101,15.636,0.369,0.171,0.33,0.278,0.12,0.111,0.082,0.111,0.12,0.769,0.212,0.233,0.216,0.206,BBB,14,12.0,2.0,1.092,1.128,0.456,0.003,-0.086,-0.242,-0.146,-0.11,-0.152,1.254,-0.019,0.248,-0.457,-0.452,-0.064,0.058,-0.1,-0.048,-0.325,-0.056,-1.366,0.077,0.156,0.168,0.038,0.038,0.295,0.586,0.003,-0.14,-0.14,-0.062,0.408,0.079,0.167,0.2,0.0
181,2013-09-30,VZ,1.54,5.553,0.225,0.276,0.136,0.026,0.183,0.229,0.61,0.415,0.065,0.056,0.041,1.589,0.142,0.322,0.51,1.567,0.741,0.65,4.002,0.522,9.722,3.709,0.891,3.423,-0.14,2.235,38.211,5.712,50.188,50.188,86.435,86.435,1.129,4.004,3.578,0.013,0.614,0.102,0.144,0.044,0.096,0.044,0.321,0.26,0.335,0.391,0.563,0.245,BBB+,16,19.0,-3.0,0.944,0.226,0.018,-0.089,-3.167,-0.024,-0.36,-0.058,-0.082,0.323,-0.004,0.009,0.011,0.131,0.094,0.1,0.17,0.128,0.268,0.319,0.848,0.266,1.342,1.342,-1.628,-1.628,0.2,0.332,0.018,-3.444,-3.444,0.115,-0.11,0.079,-0.158,-0.136,0.0
170,2012-07-31,TMO,6.15,7.459,0.143,0.205,0.128,0.061,0.073,0.237,0.416,0.845,0.038,0.033,0.094,2.541,0.13,0.497,0.844,6.739,0.31,0.31,0.711,0.456,6.626,10.315,0.576,0.78,-0.027,1.168,22.852,10.834,17.343,17.397,19.882,15.594,1.714,11.722,0.0,0.089,0.459,0.096,0.097,0.069,0.058,0.069,0.209,0.739,0.261,0.3,0.261,0.165,A-,19,22.0,-3.0,-0.534,-0.53,-0.428,0.046,0.017,0.486,0.074,-0.073,-0.154,-0.394,0.026,0.585,1.081,0.823,-0.092,-0.101,-0.003,-0.071,0.111,-0.087,-0.199,-0.04,-0.164,-0.171,-0.102,-0.293,-0.152,-0.195,-0.052,0.03,0.03,-0.143,-0.163,-0.012,-0.136,0.158,-2.0
137,2012-11-30,PBI,4.088,6.009,0.117,0.228,0.167,2.163,0.17,0.514,0.953,0.054,0.033,0.029,0.096,4.132,0.118,0.476,0.736,11.288,23.825,0.988,113.915,0.546,2.212,1.187,1.091,65.2,-0.032,15.077,5.911,7.828,5.68,5.68,6.251,3.806,0.534,3.686,0.831,0.086,0.624,0.103,0.121,16.879,0.128,16.363,0.341,0.017,0.906,1.028,0.982,0.153,BBB,14,16.0,-2.0,-0.046,-0.192,0.17,0.086,1.228,-0.011,-0.169,0.269,0.16,0.684,-0.106,0.18,-0.014,-1.123,-0.156,-0.142,-0.332,-0.095,-0.84,0.161,-0.337,-0.064,-0.359,-0.365,-0.431,-0.674,-0.267,-0.291,0.099,-0.401,-0.379,-0.073,-9.5,0.186,-0.125,-0.273,-0.667
