日期,價平買權次週每日結算價,價平買權近週每日結算價,價平賣權次週每日結算價,價平賣權近週每日結算價,價平買權近週報酬,價平賣權近週報酬,價平買權近週報酬(金額),價平賣權近週報酬(金額),訊號,策略損益(金額)
2020-04-14,,250.0,,4.4,168.0,-101.6,8400.0,-5080.0,1.0,8400.0
2020-04-15,198.0,351.0,110.0,0.1,101.0,-4.300000000000001,5050.0,-215.00000000000003,1.0,5050.0
2020-04-16,,169.0,,101.0,-32.0,-12.0,-1600.0,-600.0,1.0,-1600.0
2020-04-17,,330.0,,26.5,161.0,-74.5,8050.0,-3725.0,1.0,8050.0
2020-04-20,,256.0,,22.0,-74.0,-4.5,-3700.0,-225.0,1.0,-3700.0
2020-04-21,,63.0,,84.0,-193.0,62.0,-9650.0,3100.0,1.0,-9650.0
2020-04-22,218.0,0.2,118.0,15.0,-62.8,-69.0,-3140.0,-3450.0,1.0,-3140.0
2020-04-23,,238.0,,64.0,17.0,-57.0,850.0,-2850.0,1.0,850.0
2020-04-24,,210.0,,59.0,-28.0,-5.0,-1400.0,-250.0,1.0,-1400.0
2020-04-27,,401.0,,5.2,191.0,-53.8,9550.0,-2690.0,1.0,9550.0
2020-04-28,,426.0,,0.8,25.0,-4.4,1250.0,-220.00000000000003,1.0,1250.0
2020-04-29,150.0,555.0,103.0,0.1,129.0,-0.7000000000000001,6450.0,-35.0,1.0,6450.0
2020-04-30,,310.0,,27.0,157.0,-79.0,7850.0,-3950.0,1.0,7850.0
2020-05-04,,84.0,,115.0,-226.0,88.0,-11300.0,4400.0,1.0,-11300.0
2020-05-05,,104.0,,25.0,20.0,-90.0,1000.0,-4500.0,1.0,1000.0
2020-05-06,160.0,57.0,111.0,0.1,-47.0,-24.9,-2350.0,-1245.0,1.0,-2350.0
2020-05-07,,188.0,,63.0,25.0,-51.0,1250.0,-2550.0,1.0,1250.0
2020-05-08,,213.0,,38.0,25.0,-25.0,1250.0,-1250.0,1.0,1250.0
2020-05-11,,266.0,,10.5,53.0,-27.5,2650.0,-1375.0,1.0,2650.0
2020-05-12,,153.0,,7.4,-113.0,-3.0999999999999996,-5650.0,-154.99999999999997,1.0,-5650.0
2020-05-13,131.0,174.0,117.0,0.1,21.0,-7.300000000000001,1050.0,-365.00000000000006,1.0,1050.0
2020-05-14,,56.0,,206.0,-78.0,86.0,-3900.0,4300.0,1.0,-3900.0
2020-05-15,,63.0,,143.0,7.0,-63.0,350.0,-3150.0,1.0,350.0
2020-05-18,,28.0,,165.0,-35.0,22.0,-1750.0,1100.0,1.0,-1750.0
2020-05-19,,35.0,,66.0,7.0,-99.0,350.0,-4950.0,1.0,350.0
2020-05-20,135.0,0.1,93.0,13.0,-34.9,-53.0,-1745.0,-2650.0,1.0,-1745.0
2020-05-21,,178.0,,46.5,40.0,-49.5,2000.0,-2475.0,1.0,2000.0
2020-05-22,,65.0,,125.0,-113.0,78.5,-5650.0,3925.0,1.0,-5650.0
2020-05-25,,61.0,,52.0,-4.0,-73.0,-200.0,-3650.0,1.0,-200.0
2020-05-26,,164.0,,6.7,103.0,-45.3,5150.0,-2265.0,1.0,5150.0
2020-05-27,139.0,160.0,86.0,0.1,-4.0,-6.6000000000000005,-200.0,-330.0,1.0,-200.0
2020-05-28,,101.0,,108.0,-41.0,19.0,-2050.0,950.0,1.0,-2050.0
2020-05-29,,86.0,,91.0,-15.0,-17.0,-750.0,-850.0,1.0,-750.0
2020-06-01,,151.0,,21.5,65.0,-69.5,3250.0,-3475.0,1.0,3250.0
2020-06-02,,187.0,,6.5,36.0,-15.0,1800.0,-750.0,1.0,1800.0
2020-06-03,141.0,371.0,90.0,0.2,184.0,-6.3,9200.0,-315.0,1.0,9200.0
2020-06-04,,182.0,,56.0,38.0,-37.0,1900.0,-1850.0,1.0,1900.0
2020-06-05,,245.0,,20.0,63.0,-36.0,3150.0,-1800.0,1.0,3150.0
2020-06-08,,341.0,,4.7,96.0,-15.3,4800.0,-765.0,1.0,4800.0
2020-06-09,,380.0,,1.1,39.0,-3.6,1950.0,-180.0,1.0,1950.0
2020-06-10,127.0,463.0,123.0,0.1,83.0,-1.0,4150.0,-50.0,1.0,4150.0
2020-06-11,,34.0,,243.0,-96.0,117.0,-4800.0,5850.0,1.0,-4800.0
2020-06-12,,14.0,,323.0,-20.0,80.0,-1000.0,4000.0,1.0,-1000.0
2020-06-15,,1.8,,475.0,-12.2,152.0,-610.0,7600.0,1.0,-610.0
2020-06-16,,7.7,,183.0,5.9,-292.0,295.0,-14600.0,1.0,295.0
2020-06-17,217.0,0.2,66.0,179.0,-7.5,-4.0,-375.0,-200.0,1.0,-375.0
2020-06-18,,235.0,,42.0,15.0,-27.0,750.0,-1350.0,1.0,750.0
2020-06-19,,231.0,,27.0,-4.0,-15.0,-200.0,-750.0,1.0,-200.0
2020-06-22,,230.0,,13.0,-1.0,-14.0,-50.0,-700.0,1.0,-50.0
2020-06-23,,260.0,,3.2,30.0,-9.8,1500.0,-490.00000000000006,1.0,1500.0
2020-06-24,191.0,302.0,55.0,0.2,42.0,-3.0,2100.0,-150.0,1.0,2100.0
2020-06-29,,65.0,,85.0,-129.0,27.0,-6450.0,1350.0,1.0,-6450.0
2020-06-30,,102.0,,11.0,37.0,-74.0,1850.0,-3700.0,1.0,1850.0
2020-07-01,164.0,203.0,60.0,0.2,101.0,-10.8,5050.0,-540.0,1.0,5050.0
2020-07-02,,276.0,,23.0,109.0,-40.0,5450.0,-2000.0,1.0,5450.0
2020-07-03,,398.0,,10.0,122.0,-13.0,6100.0,-650.0,1.0,6100.0
2020-07-06,,615.0,,2.1,217.0,-7.9,10850.0,-395.0,1.0,10850.0
2020-07-07,,575.0,,0.6,-40.0,-1.5,-2000.0,-75.0,1.0,-2000.0
2020-07-08,138.0,655.0,110.0,0.1,80.0,-0.5,4000.0,-25.0,1.0,4000.0
2020-07-09,,136.0,,85.0,-5.0,-28.0,-250.0,-1400.0,1.0,-250.0
2020-07-10,,54.0,,159.0,-82.0,74.0,-4100.0,3700.0,1.0,-4100.0
2020-07-13,,135.0,,29.5,81.0,-129.5,4050.0,-6475.0,1.0,4050.0
2020-07-14,,109.0,,21.0,-26.0,-8.5,-1300.0,-425.0,1.0,-1300.0
2020-07-15,228.0,120.0,68.0,0.1,11.0,-20.9,550.0,-1045.0,1.0,550.0
2020-07-16,,177.0,,65.0,-54.0,-6.0,-2700.0,-300.0,1.0,-2700.0
2020-07-17,,164.0,,44.5,-13.0,-20.5,-650.0,-1025.0,1.0,-650.0
2020-07-20,,144.0,,25.5,-20.0,-19.0,-1000.0,-950.0,1.0,-1000.0
2020-07-21,,370.0,,1.8,226.0,-23.7,11300.0,-1185.0,1.0,11300.0
2020-07-22,186.0,401.0,63.0,0.2,31.0,-1.6,1550.0,-80.0,1.0,1550.0
2020-07-23,,160.0,,70.0,-29.0,4.0,-1450.0,200.0,1.0,-1450.0
2020-07-24,,88.0,,134.0,-72.0,64.0,-3600.0,3200.0,1.0,-3600.0
2020-07-27,,319.0,,15.0,231.0,-119.0,11550.0,-5950.0,1.0,11550.0
2020-07-28,,272.0,,11.5,-47.0,-3.5,-2350.0,-175.0,1.0,-2350.0
2020-07-29,205.0,229.0,97.0,0.1,-43.0,-11.4,-2150.0,-570.0,1.0,-2150.0
2020-07-30,,320.0,,47.0,112.0,-53.0,5600.0,-2650.0,1.0,5600.0
2020-07-31,,301.0,,45.5,-19.0,-1.5,-950.0,-75.0,1.0,-950.0
2020-08-03,,171.0,,43.0,-130.0,-2.5,-6500.0,-125.0,1.0,-6500.0
2020-08-04,,314.0,,2.1,143.0,-40.9,7150.0,-2045.0,1.0,7150.0
2020-08-05,176.0,393.0,85.0,0.1,79.0,-2.0,3950.0,-100.0,1.0,3950.0
2020-08-06,,237.0,,54.0,58.0,-34.0,2900.0,-1700.0,1.0,2900.0
2020-08-07,,170.0,,62.0,-67.0,8.0,-3350.0,400.0,1.0,-3350.0
2020-08-10,,221.0,,20.0,51.0,-42.0,2550.0,-2100.0,1.0,2550.0
2020-08-11,,97.0,,25.0,-124.0,5.0,-6200.0,250.0,1.0,-6200.0
2020-08-12,130.0,0.2,121.0,40.5,-96.8,15.5,-4840.0,775.0,1.0,-4840.0
2020-08-13,,155.0,,77.0,22.0,-47.0,1100.0,-2350.0,1.0,1100.0
2020-08-14,,183.0,,42.5,28.0,-34.5,1400.0,-1725.0,1.0,1400.0
2020-08-17,,311.0,,6.5,128.0,-36.0,6400.0,-1800.0,1.0,6400.0
2020-08-18,,230.0,,3.3,-81.0,-3.2,-4050.0,-160.0,1.0,-4050.0
2020-08-19,139.0,156.0,101.0,0.1,-74.0,-3.1999999999999997,-3700.0,-160.0,1.0,-3700.0
2020-08-20,,18.5,,423.0,-123.5,319.0,-6175.0,15950.0,1.0,-6175.0
2020-08-21,,32.0,,187.0,13.5,-236.0,675.0,-11800.0,1.0,675.0
2020-08-24,,27.5,,137.0,-4.5,-50.0,-225.0,-2500.0,1.0,-225.0
2020-08-25,,61.0,,38.0,33.5,-99.0,1675.0,-4950.0,1.0,1675.0
2020-08-26,165.0,49.5,92.0,0.2,-11.5,-37.8,-575.0,-1889.9999999999998,1.0,-575.0
2020-08-27,,131.0,,94.0,-37.0,-1.0,-1850.0,-50.0,1.0,-1850.0
2020-08-28,,88.0,,115.0,-43.0,21.0,-2150.0,1050.0,1.0,-2150.0
2020-08-31,,28.0,,155.0,-60.0,40.0,-3000.0,2000.0,1.0,-3000.0
2020-09-01,,26.5,,67.0,-1.5,-88.0,-75.0,-4400.0,1.0,-75.0
2020-09-02,165.0,0.2,101.0,82.0,-26.3,15.0,-1315.0,750.0,1.0,-1315.0
2020-09-03,,174.0,,75.0,6.0,-29.0,300.0,-1450.0,1.0,300.0
2020-09-04,,98.0,,120.0,-76.0,45.0,-3800.0,2250.0,1.0,-3800.0
2020-09-07,,52.0,,102.0,-46.0,-18.0,-2300.0,-900.0,1.0,-2300.0
2020-09-08,,68.0,32.0,32.0,16.0,-70.0,800.0,-3500.0,1.0,800.0
2020-09-09,175.0,0.1,124.0,58.0,-67.9,26.0,-3395.0000000000005,1300.0,1.0,-3395.0000000000005
2020-09-10,,211.0,,63.0,33.0,-64.0,1650.0,-3200.0,1.0,1650.0
2020-09-11,,175.0,,61.0,-36.0,-2.0,-1800.0,-100.0,1.0,-1800.0
2020-09-14,,246.0,,11.5,71.0,-49.5,3550.0,-2475.0,1.0,3550.0
2020-09-15,,296.0,,2.8,50.0,-8.7,2500.0,-434.99999999999994,1.0,2500.0
2020-09-16,138.0,418.0,107.0,0.1,122.0,-2.6999999999999997,6100.0,-135.0,1.0,6100.0
2020-09-17,,79.0,,128.0,-62.0,18.0,-3100.0,900.0,1.0,-3100.0
2020-09-18,,73.0,,100.0,-6.0,-28.0,-300.0,-1400.0,1.0,-300.0
2020-09-21,,16.0,,196.0,-57.0,96.0,-2850.0,4800.0,1.0,-2850.0
2020-09-22,,1.9,,276.0,-14.1,80.0,-705.0,4000.0,1.0,-705.0
2020-09-23,182.0,0.2,84.0,323.0,-1.7,47.0,-85.0,2350.0,-1.0,-85.0
2020-09-24,,23.0,,274.0,-162.0,187.0,-8100.0,9350.0,-1.0,9350.0
2020-09-25,,13.0,,271.0,-10.0,-3.0,-500.0,-150.0,-1.0,-150.0
2020-09-28,,42.0,,82.0,29.0,-189.0,1450.0,-9450.0,-1.0,-9450.0
2020-09-29,,23.0,,69.0,-19.0,-13.0,-950.0,-650.0,-1.0,-650.0
2020-09-30,150.0,28.5,94.0,0.1,5.5,-68.9,275.0,-3445.0000000000005,1.0,-3445.0000000000005
2020-10-05,,142.0,,30.0,-11.0,-67.0,-550.0,-3350.0,1.0,-550.0
2020-10-06,,256.0,,1.4,114.0,-28.6,5700.0,-1430.0,1.0,5700.0
2020-10-07,112.0,309.0,84.0,0.3,53.0,-1.0999999999999999,2650.0,-54.99999999999999,1.0,2650.0
2020-10-08,,187.0,,41.0,72.0,-46.0,3600.0,-2300.0,1.0,3600.0
2020-10-12,,209.0,,9.0,22.0,-32.0,1100.0,-1600.0,1.0,1100.0
2020-10-13,,208.0,,2.6,-1.0,-6.4,-50.0,-320.0,1.0,-50.0
2020-10-14,135.0,150.0,94.0,0.1,-58.0,-2.5,-2900.0,-125.0,1.0,-2900.0
2020-10-15,,100.0,,106.0,-38.0,9.0,-1900.0,450.0,1.0,-1900.0
2020-10-16,,42.5,,143.0,-57.5,37.0,-2875.0,1850.0,1.0,-2875.0
2020-10-19,,85.0,,39.0,42.5,-104.0,2125.0,-5200.0,1.0,2125.0
2020-10-20,,46.0,40.5,40.5,-39.0,1.5,-1950.0,75.0,1.0,-1950.0
2020-10-21,134.0,10.0,82.0,0.1,-36.0,-40.4,-1800.0,-2020.0,1.0,-1800.0
2020-10-22,,146.0,,54.0,9.0,-31.0,450.0,-1550.0,1.0,450.0
