年月,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10
201001,-2.2648486949373168,-6.437284749880727,-8.296804173417,-4.997506020848023,-7.932275289562852,-9.722709486572736,-6.610152655930114,-8.120098410063584,-6.4088041523160815,-5.456439721414229
201002,-1.7019724826692804,-2.860701877649361,-0.48373589888645785,-0.917505621100397,-2.0581600218979195,-0.9095039773446194,-1.4242509091766913,-3.5697226588564717,-4.069000330372617,-2.187984467894423
201003,11.642529932142967,12.690144775821931,12.643332784984237,12.949477626082228,11.109057774748305,11.685386597288225,11.677471221618761,9.519989646923005,8.712207453641444,5.221342027794144
201004,5.401095609425082,3.9470567917807604,2.328018370723347,3.088675490509476,1.5115582245416745,0.254253969362945,1.4221320830535291,1.4287365637276632,1.8027845104722724,1.6271383858075585
201005,-9.384219364239245,-6.5141044601610725,-9.925065768252091,-8.175461422005736,-8.083271532481582,-9.89503301647229,-7.950852367024363,-8.721672373613808,-7.460650949887224,-6.770519398223107
201006,-0.10994971470787021,1.5609328207988744,-0.3958981813114449,1.8168916689542114,1.737313390487504,-0.35458825993562065,0.6607034904213617,-0.2473805803873385,0.42349677225995785,-0.46377126714650524
201007,7.4008846814875655,9.082935710877152,8.890671348723933,8.796684797523518,8.271699998115063,8.649468554849514,7.758698295636713,8.77519776661748,9.827748332587745,9.355368990610748
201008,-2.0595564022696036,-4.958382536266602,-4.804815841354954,-1.4649321039276384,-1.0574320395156673,-0.5001050163152955,-1.3244094901201888,0.461951095419156,1.0300973849183788,-0.1472428290305249
201009,3.70905753931545,7.598381950243944,8.641122412583558,7.508386477673709,7.513206873099085,8.208096088567165,10.10982869930737,9.497815180475191,10.40481420933351,8.272216060198208
201010,-3.826704853455039,-1.8388646187292463,-1.5048987003143666,-1.2828052321454684,-0.44276135638197067,-1.73748918880708,-1.5927763213514288,-2.2063246610731344,3.0467300251568,2.502372981913153
201011,-4.242445195003822,-5.074269259817583,-1.1560428455347669,-1.0657861037731502,-1.3139548865189203,-1.9381455724623335,-0.8394307560779919,3.6702778144974535,3.9203439404597407,1.9620197610374066
201012,4.497898857456048,5.194140356767509,6.621435046297207,5.525722321223269,3.7062363795211453,8.305729091632111,2.7578607906451116,6.880713198931048,6.346274004408182,8.672516352725086
201101,2.3121859188912426,-1.1412790290995543,1.5889466032324846,0.46762450327774263,0.3339711503514486,-0.3511690833809598,0.14339948680099388,0.36943934732481726,0.9713404099983521,2.521616870528954
201102,-4.031018849191865,-5.1037660225137875,-4.449537097445863,-4.756825499930553,-4.259488131244074,-4.067492199661043,-5.595665410439907,-5.6547979057735605,-4.8921237148602605,-5.675704218420941
201103,-2.742523823278507,-1.75582845587293,-1.7321731804790574,-0.31138703445367805,1.122242073910307,0.9418050543580561,-0.40844841964268136,-0.6765017432532507,1.4743150157014395,2.0522958574747308
201104,2.5747377567026923,1.3507591406712476,2.181825988100086,3.214981403360876,3.039090987556184,2.5072770508468674,1.5350968473528543,3.142844170334147,4.200137965044857,4.98518287284226
201105,-2.857165100137373,-1.0742208624780454,0.3496944709574575,-0.36406415750675347,-0.013510429086808742,-0.9637505670195965,0.27998507116071836,1.1639972964696426,1.7905273147117031,0.2893871295137616
201106,-7.593580282970088,-3.6722652353073992,-3.8067625685543267,-2.2730994154346513,-1.5216043194802453,-3.244132020806461,-2.5005663851564073,-1.9832333535148405,-1.5906647125917435,-2.7640094834502587
201107,-3.2325661639515695,-2.892095325086306,-1.2347287371642446,0.7082474406946425,-0.2838240626681503,-1.1373901539280655,1.687865572747641,3.6662129612164254,4.52654553056716,3.821368733495671
201108,-10.885030883475732,-10.490032663922266,-11.601189987614294,-10.516796592633746,-11.107105780169055,-11.091975767713542,-10.32286098180679,-9.626376217890476,-11.194866717970989,-8.24943534115602
201109,-5.900561504459551,-8.330249926780157,-5.70533038677923,-7.249773854628867,-8.265283302041356,-7.2585450896981065,-6.359130441994275,-7.847825913127327,-8.083589603010449,-5.545366949806788
201110,3.715982213152768,4.906890894932545,5.858372630529949,3.2155857343095615,6.086306796162783,2.730371625585771,4.395750140626421,4.180526216538298,4.840574675172626,5.989676007941362
201111,-14.15789149601276,-11.110954177334298,-11.893017168947917,-13.143785155167002,-12.298940592008647,-10.58763608619121,-10.570718711268267,-11.908894952788142,-10.074821797736462,-6.577402701789489
201112,0.5420643763427784,1.9200773029036844,2.026941438482642,3.8309946850014227,1.8039413757179288,1.4535705248432076,0.7768789719259863,2.414862888402676,2.399788525992057,2.9847918943726732
201201,5.015546452840446,5.560344839854043,5.98950816025224,7.10957628234567,8.076402305137163,8.472613970268027,10.48368166119955,10.451128258576922,10.574039163925988,5.392759210156102
201202,16.13941728792318,18.22131037161838,14.026434140134285,14.776724179379784,13.745674081905186,12.222555084358113,12.737234613359075,12.09756159976839,11.222462895335829,7.825755303512983
201203,-6.201961512145676,-4.18968955844387,-2.460351545880254,-2.065844792677106,-0.5839467726546458,-2.74166575529547,-0.9263142267728636,-1.0841804083439353,-3.444682407215012,-1.5569108476693265
